,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080929-20081231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,I.영업수익,25582107000000.0,30446099000000.0,29729283000000.0
1,1.이자수익,14283032000000.0,14765347000000.0,8978386000000.0
2,가.예치금이자,53934000000.0,52003000000.0,111344000000.0
3,나.유가증권이자,1845966000000.0,1804206000000.0,963220000000.0
4,다.대출채권이자,12321353000000.0,12858434000000.0,7876491000000.0
5,라.기타이자수익(주석7),61779000000.0,50704000000.0,27331000000.0
6,2.유가증권평가및처분이익,487989000000.0,624900000000.0,281239000000.0
7,가.단기매매증권평가이익,34650000000.0,20972000000.0,113913000000.0
8,나.단기매매증권처분이익,233485000000.0,227559000000.0,106737000000.0
9,다.매도가능증권처분이익,210880000000.0,371342000000.0,60380000000.0
10,라.만기보유증권처분이익,,3962000000.0,209000000.0
11,마.매도가능증권손상차손환입(주석5),8970000000.0,1065000000.0,
12,바.만기보유증권손상차손환입(주석5),4000000.0,,
13,3.대출채권평가및처분이익,37028000000.0,97130000000.0,16717000000.0
14,가.대출채권처분이익(주석6),37028000000.0,97130000000.0,16717000000.0
15,4.외환거래이익,1936634000000.0,1148189000000.0,1468930000000.0
16,가.외환거래이익,1936634000000.0,1148189000000.0,1468930000000.0
17,5.수수료수익,1449082000000.0,1454616000000.0,751830000000.0
18,가.수입수수료,1097998000000.0,1153464000000.0,605410000000.0
19,나.수입보증료,41386000000.0,48052000000.0,23024000000.0
20,다.신용카드관련수수료,267315000000.0,201006000000.0,91399000000.0
21,라.국민주택기금관리수수료,42383000000.0,52094000000.0,31997000000.0
22,6.신탁업무운용수익,191050000000.0,165279000000.0,70792000000.0
23,가.신탁업무운용수익,191050000000.0,165279000000.0,70792000000.0
24,7.배당금수익,91866000000.0,81017000000.0,58905000000.0
25,가.단기매매증권배당수익,2547000000.0,2359000000.0,1611000000.0
26,나.매도가능증권배당수익,89319000000.0,78658000000.0,57294000000.0
27,8.보험수익,1064042000000.0,788855000000.0,306838000000.0
28,가.보험료수익,1062727000000.0,786839000000.0,306448000000.0
29,나.재보험수익,1315000000.0,2016000000.0,390000000.0
30,9.기타영업수익,6041384000000.0,11320766000000.0,17795646000000.0
31,가.파생상품거래이익,4154407000000.0,8290995000000.0,11998947000000.0
32,나.파생상품평가이익(주석20),1684749000000.0,2536308000000.0,5757919000000.0
33,"다.공정가액위험회피관련이익(주석5,11,12,20)",88753000000.0,426366000000.0,
34,라.지급보증충당부채환입액,1158000000.0,520000000.0,121000000.0
35,마.기타충당부채환입액,20093000000.0,16000000000.0,21596000000.0
36,바.기타영업잡수익,92224000000.0,50577000000.0,17063000000.0
37,II.영업비용,25389363000000.0,29794814000000.0,29101982000000.0
38,1.이자비용,7044818000000.0,8351621000000.0,5100808000000.0
39,가.예수부채이자,4836479000000.0,5561567000000.0,3483450000000.0
40,나.차입부채이자,2169292000000.0,2725798000000.0,1582833000000.0
41,다.기타이자비용,39047000000.0,64256000000.0,34525000000.0
42,2.유가증권평가및처분손실,223548000000.0,385664000000.0,298879000000.0
43,가.단기매매증권평가손실,2649000000.0,35222000000.0,
