,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,"Ⅰ.매출액(주2,11,28)",90659510035000.0,77152583310000.0,88824968672000.0,65714480695000.0,56141092888000.0,48288179238000.0,48288179238000.0,42921717483000.0,36117161825000.0,43398950797000.0,42620264004000.0,36463953847000.0,18462543263.0,19063429061000.0,14726317972000.0
1,"Ⅱ.매출원가(주2,10,11)",80403899013000.0,68830896341000.0,80220078933000.0,57834747511000.0,48693472058000.0,40808452529000.0,40808452529000.0,35146949329000.0,29183333055000.0,36965547992000.0,36823150224000.0,31622904953000.0,16300554755.0,16749303557000.0,11578673530000.0
2,Ⅲ.매출총이익,10255611022000.0,8321686969000.0,8604889739000.0,7879733184000.0,7447620830000.0,7479726709000.0,7479726709000.0,7774768154000.0,6933828770000.0,6433402805000.0,5797113780000.0,4841048894000.0,2161988508.0,2314125504000.0,3147644442000.0
3,"Ⅳ.판매비와관리비(주7,10)",5023529009000.0,4645438351000.0,4152936696000.0,3602744637000.0,2688356340000.0,2620733976000.0,2620733976000.0,2707263933000.0,2553794913000.0,2558085144000.0,2129102029000.0,1576897547000.0,1038850991.0,1067359704000.0,778624565000.0
4,급여,941759842000.0,891706228000.0,693813396000.0,675450717000.0,516043139000.0,455681048000.0,455681048000.0,382205017000.0,324471153000.0,398940223000.0,314289806000.0,218688678000.0,104524132.0,,
5,퇴직급여,102224201000.0,118073486000.0,98720494000.0,75840728000.0,70074070000.0,59238520000.0,59238520000.0,54905668000.0,54678890000.0,69414962000.0,55629519000.0,37932819000.0,19276034.0,,
6,감가상각비,192303928000.0,215236999000.0,203159529000.0,164578325000.0,165339444000.0,214504805000.0,214504805000.0,201789818000.0,212043986000.0,181311384000.0,208875109000.0,120276539000.0,73037952.0,,
7,무형자산상각비,193949364000.0,188578156000.0,182883531000.0,262426972000.0,16093977000.0,,,,,,,,,,
8,연구및경상개발비,213946094000.0,148290736000.0,151873354000.0,126547947000.0,86080638000.0,74883348000.0,74883348000.0,166905110000.0,34115448000.0,41194474000.0,35862439000.0,27745519000.0,40145786.0,,
9,교육및조사연구비,46666244000.0,40539275000.0,88576241000.0,51211832000.0,46207124000.0,40713004000.0,40713004000.0,21770429000.0,32612547000.0,47896566000.0,16048835000.0,15508608000.0,17401300.0,,
10,기술용역비,294746887000.0,153788632000.0,116997429000.0,127380027000.0,94754393000.0,80557293000.0,80557293000.0,71225773000.0,69254247000.0,73863023000.0,65934700000.0,51218199000.0,47295229.0,,
11,대손상각비,132485275000.0,63744671000.0,53693877000.0,4106004000.0,,,,,242864921000.0,13809252000.0,2657247000.0,15803636000.0,28550278.0,,
12,지급수수료,858414936000.0,1151195617000.0,826241101000.0,674611645000.0,581358131000.0,532694538000.0,532694538000.0,562024822000.0,440132285000.0,439316052000.0,284192568000.0,199044934000.0,183989357.0,,
13,세금과공과,89320410000.0,93863464000.0,80714874000.0,70801599000.0,75820140000.0,52053324000.0,52053324000.0,51099036000.0,37777038000.0,58025861000.0,74446287000.0,49456703000.0,26849299.0,,
14,복리후생비,163027470000.0,154922872000.0,124768994000.0,104213895000.0,78494702000.0,64768469000.0,64768469000.0,78889593000.0,53241929000.0,63490382000.0,53931277000.0,46653067000.0,23791145.0,,
15,광고선전비,205800066000.0,173515242000.0,304397053000.0,240345038000.0,199887266000.0,184201038000.0,184201038000.0,247743397000.0,129573624000.0,183801293000.0,165207759000.0,144162561000.0,110396005.0,,
16,수송비,609195204000.0,577486731000.0,637237962000.0,528610828000.0,448320286000.0,317133145000.0,317133145000.0,395232550000.0,300584239000.0,346376388000.0,276257292000.0,257791047000.0,200539402.0,,
17,여비교통비,58522361000.0,43100506000.0,44586441000.0,49598244000.0,29784633000.0,26427321000.0,26427321000.0,24520906000.0,19927485000.0,32951328000.0,27001528000.0,23267086000.0,,,
18,임차료,180910093000.0,148230502000.0,183551139000.0,147830085000.0,116649033000.0,65937717000.0,65937717000.0,61914483000.0,45776826000.0,54190417000.0,44617898000.0,17889399000.0,15710682.0,,
19,기타판매비와관리비,740256634000.0,483165234000.0,361721281000.0,299190751000.0,69971588000.0,365305209000.0,365305209000.0,291702264000.0,486630706000.0,480040420000.0,281754564000.0,130684039000.0,147344390.0,,
20,Ⅴ.영업이익,5232082013000.0,3676248618000.0,4451953043000.0,4276988547000.0,4759264490000.0,4858992733000.0,4858992733000.0,5067504221000.0,4380033857000.0,3875317661000.0,3668011751000.0,3264151347000.0,1123137517.0,1246765800000.0,2369019877000.0
21,Ⅵ.영업외수익,3612364834000.0,5238661005000.0,8431533338000.0,2768433154000.0,2014063189000.0,1842704580000.0,1842704580000.0,1918136330000.0,1310977305000.0,1724328078000.0,1295591800000.0,1320096019000.0,800214106.0,1367445877000.0,498963788000.0
22,이자수익,407859542000.0,388171439000.0,444415695000.0,267178796000.0,253921617000.0,150043475000.0,150043475000.0,160303032000.0,189277053000.0,251156908000.0,321425194000.0,309604841000.0,201108568.0,340391994000.0,110008327000.0
23,배당금수익,57620523000.0,166407456000.0,100371144000.0,28804091000.0,24752003000.0,48341657000.0,48341657000.0,63672537000.0,61874695000.0,22209884000.0,30247259000.0,5928226000.0,8262252.0,6831041000.0,6445117000.0
24,수입임대료,27854501000.0,56335967000.0,37845157000.0,37066006000.0,40088859000.0,26962666000.0,26962666000.0,26309191000.0,24592015000.0,22250216000.0,17046988000.0,20571157000.0,,,
