,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,I.영업수익,19192508000000.0,21269993000000.0,23126243000000.0,10634075000000.0,8350941000000.0,6630455000000.0,6848123000000.0,6107942000000.0,5811141000000.0,6821657000000.0,6428461.0,6246081000000.0,5783003000000.0,4761885000000.0
1,(1)이자수익(주석26),8862750000000.0,8399476000000.0,8584858000000.0,7054310000000.0,5676023000000.0,4565041000000.0,4353328000000.0,3877971000000.0,-3591834000000.0,-3508421000000.0,-3364865.0,3372361000000.0,4057561000000.0,3829783000000.0
2,1.예치금이자,62497000000.0,43961000000.0,93381000000.0,33922000000.0,15499000000.0,,,,,,,,,
3,2.유가증권이자,1043730000000.0,1030399000000.0,1034599000000.0,893156000000.0,780884000000.0,,,,,,,,,
4,3.대출채권이자,7597685000000.0,7165568000000.0,7306963000000.0,6003528000000.0,4770969000000.0,,,,,,,,,
5,4.기타이자수익,158838000000.0,159548000000.0,149915000000.0,123704000000.0,108671000000.0,,,,,,,,,
6,(2)유가증권평가및처분이익,452888000000.0,348881000000.0,251439000000.0,659418000000.0,295897000000.0,,,,,,,,,
7,1.단기매매증권처분이익,90119000000.0,90699000000.0,45830000000.0,48154000000.0,37608000000.0,41417000000.0,38054000000.0,47586000000.0,71124000000.0,,,,,
8,2.단기매매증권평가이익,16672000000.0,9072000000.0,33815000000.0,4036000000.0,7039000000.0,13908000000.0,7050000000.0,31729000000.0,14447000000.0,,,,,
9,3.매도가능증권처분이익,197699000000.0,177313000000.0,131923000000.0,525540000000.0,145716000000.0,57388000000.0,123197000000.0,213468000000.0,135868000000.0,,,,,
