,Income statement(Unit: KRW),20100401-20110331,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20000401-20010331,19990401-20000331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,Ⅰ.영업수익,26230238000000.0,25761194000000.0,25344934000000.0,24613063000000.0,23904064000000.0,23287239000000.0,23640095000000.0,22718308000000.0,23834342000000.0,22842361000000.0,24781630539000.0,20852208086000.0
1,1.보험료수익(주석21),14607546000000.0,14523218000000.0,14697681000000.0,15382579000000.0,15460008000000.0,15547303000000.0,16070475000000.0,16387255000000.0,17097752000000.0,16794111000000.0,19235766044000.0,15062541468000.0
2,가.개인보험료,14138120000000.0,14032980000000.0,14152390000000.0,14785807000000.0,14807806000000.0,14787199000000.0,15211461000000.0,15540538000000.0,15750913000000.0,14847242000000.0,16893631300000.0,11779572869000.0
3,나.단체보험료,469426000000.0,490238000000.0,545291000000.0,596772000000.0,652202000000.0,760104000000.0,859014000000.0,846717000000.0,1346839000000.0,1946869000000.0,2342134744000.0,3282968599000.0
4,2.재보험수익(주석25),261678000000.0,260078000000.0,260625000000.0,225399000000.0,203423000000.0,184365000000.0,121950000000.0,139103000000.0,117315000000.0,102564000000.0,,
5,가.재보험료수익,13938000000.0,16386000000.0,20722000000.0,11741000000.0,12691000000.0,20027000000.0,14881000000.0,14837000000.0,7398000000.0,9014000000.0,,
6,나.재보험금수익,201655000000.0,198920000000.0,192434000000.0,157943000000.0,125872000000.0,112406000000.0,64507000000.0,57132000000.0,42691000000.0,45794000000.0,32435536000.0,24465487000.0
7,다.재보험수수료수익,46085000000.0,44772000000.0,47469000000.0,55715000000.0,64860000000.0,51932000000.0,42562000000.0,67134000000.0,67226000000.0,47756000000.0,,
8,3.이자수익,5079656000000.0,4960658000000.0,4824225000000.0,4402938000000.0,4022977000000.0,3766627000000.0,3717583000000.0,3660491000000.0,3576857000000.0,3120982000000.0,2867134075000.0,2543694632000.0
9,가.예금이자,142859000000.0,166661000000.0,230668000000.0,99983000000.0,68138000000.0,42861000000.0,40555000000.0,46176000000.0,39735000000.0,52174000000.0,87373300000.0,46912180000.0
10,나.단기매매증권이자(주석4),13358000000.0,9366000000.0,14068000000.0,27204000000.0,22731000000.0,22184000000.0,3695000000.0,19850000000.0,8843000000.0,9472000000.0,39634752000.0,76707178000.0
11,다.매도가능증권이자(주석5),2982576000000.0,2703194000000.0,2422871000000.0,2317622000000.0,2103002000000.0,2110999000000.0,1921356000000.0,1705131000000.0,1541644000000.0,1217435000000.0,899601609000.0,800049216000.0
12,라.만기보유증권이자(주석6),110169000000.0,157491000000.0,182394000000.0,222966000000.0,249605000000.0,,,,,2648805000000.0,2714541911000.0,
13,마.대출채권이자,1811355000000.0,1903369000000.0,1957349000000.0,1721842000000.0,1568235000000.0,1578958000000.0,1742842000000.0,1880593000000.0,1973167000000.0,1833179000000.0,1803330230000.0,1609468284000.0
14,바.예치금이자,286000000.0,800000000.0,89000000.0,93000000.0,237000000.0,67000000.0,133000000.0,89000000.0,2996000000.0,112000000.0,390405000.0,273190000.0
15,사.기타수입이자,19053000000.0,19777000000.0,16786000000.0,13228000000.0,11029000000.0,11558000000.0,9002000000.0,8652000000.0,10472000000.0,8610000000.0,36803779000.0,10284584000.0
16,4.유가증권평가및처분이익,1093302000000.0,353514000000.0,715185000000.0,489003000000.0,492388000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
17,가.단기매매증권평가이익,669000000.0,5385000000.0,5461000000.0,631000000.0,14906000000.0,25367000000.0,5674000000.0,14545000000.0,1147000000.0,,2714541911000.0,
18,나.단기매매증권처분이익,15197000000.0,9876000000.0,7036000000.0,6988000000.0,6066000000.0,6310000000.0,6614000000.0,5334000000.0,16271000000.0,,2714541911000.0,
19,다.매도가능증권처분이익,1077436000000.0,293415000000.0,702688000000.0,481384000000.0,471416000000.0,469589000000.0,380616000000.0,353064000000.0,397375000000.0,,2714541911000.0,
20,라.매도가능증권손상차손환입(주석5),,44838000000.0,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
21,5.대출채권평가및처분이익,464359000000.0,9279000000.0,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
22,가.대손충당금환입(주석8),464359000000.0,9279000000.0,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
23,6.외환거래이익,154162000000.0,238227000000.0,1105531000000.0,66672000000.0,4298000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
24,가.외화환산이익(주석30),2561000000.0,1000000.0,71350000000.0,44476000000.0,1543000000.0,314000000.0,1777000000.0,,,2648805000000.0,2714541911000.0,
25,나.외환차익,151601000000.0,238226000000.0,1034181000000.0,22196000000.0,2755000000.0,93580000000.0,17022000000.0,,,2648805000000.0,2714541911000.0,
26,7.수수료수익,66517000000.0,66164000000.0,58137000000.0,42920000000.0,56238000000.0,44639000000.0,62818000000.0,54655000000.0,78428000000.0,39580000000.0,25726571000.0,203730885000.0
