,Income statement(Unit: KRW),20100401-20110331,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20010401-20020331,20000401-20010331,19990401-20000331,19980401-19990331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표', '')","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,Ⅰ.영업수익,16095509072317.0,13374851439298.0,11964985366898.0,11069127530283.0,9848843103850.0,8741641824444.0,7840535945410.0,7325409050155.0,7011808291744.0,6210153007474.0,6224469932361.0,5447092054379.0,4487241834945.0,
1,"1.보험료수익(주석24,34)",12931334714136.0,11005929958369.0,9809869600312.0,9141044212273.0,8215645654900.0,7221850040423.0,6739237051816.0,6225406576643.0,5952246463352.0,5242111709476.0,5242111709476.0,4567194822530.0,3707315906165.0,
2,원수보험료,12869099558356.0,10965585252617.0,9810451745016.0,9202422710567.0,8271830698993.0,7277630924778.0,6811522365107.0,6302179881194.0,6051217509262.0,5334705590175.0,5335953756855.0,4641846066317.0,3780379705205.0,3643395764026.0
3,수재보험료,215979196423.0,189096302683.0,149764340149.0,89758435957.0,72163535504.0,76702982249.0,55172922492.0,46222588404.0,48917450451.0,52897507377.0,51649340697.0,36936316779.0,23904062059.0,14142181887.0
4,해지환급금,-153744040643.0,-148751596931.0,-150346484853.0,-151136934251.0,-128348579597.0,-132483866604.0,-127458235783.0,-122995892955.0,-147888496361.0,-145491388076.0,-145491388076.0,-111587560566.0,-96967861099.0,107678697830.0
5,2.재보험금수익(주석25),421824931332.0,322741917049.0,359420308075.0,331249999007.0,274845381800.0,294084429206.0,294504816932.0,322792298131.0,309773005130.0,244496703803.0,244496703803.0,234160877375.0,147460468660.0,
6,재보험금,432435859066.0,330706018706.0,377762225716.0,342260267077.0,280440029637.0,298844006586.0,297005470632.0,325119468057.0,313391244833.0,248527935428.0,248527935428.0,235831207826.0,150103671721.0,116608873744.0
7,재보험금환급,-10610927734.0,-7964101657.0,-18341917641.0,-11010268070.0,-5594647837.0,-4759577380.0,-2500653700.0,-2327169926.0,-3618239703.0,-4031231625.0,-4031231625.0,-1670330451.0,-2643203061.0,2092608910.0
8,3.구상이익(주석14),16435997910.0,12132142409.0,-4238721956.0,12457773817.0,3018774279.0,6423258236.0,-11269406965.0,2252686610.0,14922944504.0,24395306998.0,24395306998.0,23252058865.0,4613606369.0,
9,4.이자수익,1138046917010.0,1018395235219.0,933485186489.0,790956412054.0,687184552902.0,617136418078.0,574120364081.0,547429137406.0,529569173265.0,465488298739.0,465488298739.0,446248343194.0,409876993894.0,
10,예금이자,20933435791.0,21369924979.0,34157199472.0,23228381699.0,9567678868.0,,,,,,,,,60996045170.0
11,"유가증권이자(주석5,6)",730254194743.0,656331355646.0,571015204366.0,492770485720.0,442307821737.0,,,,,,,,,
12,대출채권이자,386859286476.0,340693954594.0,328312782651.0,274957544635.0,235309052297.0,,,,,,,,,
13,5.유가증권평가및처분이익,130012476157.0,65633340611.0,21940203257.0,33822579162.0,73061263661.0,,,,,,,,,
14,"단기매매증권평가이익(주석4,8)",11343867091.0,1528372387.0,991309115.0,1362586274.0,318283065.0,468656712.0,1916330790.0,11342559653.0,11070710614.0,35725850246.0,40230417594.0,18943828303.0,,72876983153.0
15,단기매매증권처분이익,10633201957.0,5290285738.0,2425206593.0,3196291867.0,1627094793.0,1833834891.0,15926588439.0,22005147009.0,12965756132.0,44133925050.0,53946282589.0,25006804916.0,101356686074.0,32588621053.0
16,매도가능증권처분이익,108035407109.0,58814682486.0,18523687549.0,26327735883.0,71115885803.0,41513571529.0,17189035495.0,25586823785.0,28956199963.0,55180244218.0,55180244218.0,43909111667.0,98193796734.0,33613104900.0
17,6.대출채권평가및처분이익,8966198.0,2187079425.0,985390852.0,184790415.0,9980337.0,10737352230.0,,581422738.0,,5264527972.0,5264527972.0,4465299155.0,,
18,대손충당금환입액,8966198.0,2187079425.0,985390852.0,184790415.0,9980337.0,,,,,5264527972.0,5264527972.0,4465299155.0,,
19,7.외환거래이익,25979752162.0,23592677589.0,101659891525.0,10777492468.0,5985983867.0,,,,,,,,,
20,외환차익,24123447975.0,21045188741.0,70374933592.0,6189420831.0,5752045166.0,6059171078.0,6627347846.0,7233445606.0,5134740564.0,5039090427.0,5039090427.0,7626219667.0,14147041012.0,5731168728.0
21,외화환산이익,1856304187.0,2547488848.0,31284957933.0,4588071637.0,233938701.0,440162835.0,656067572.0,698585527.0,2685944297.0,4604861384.0,4604861384.0,22276072891.0,1108901869.0,4245698744.0
22,8.배당금수익,60144964165.0,33765147244.0,28773799005.0,35455296491.0,23546171772.0,15891548783.0,24730859397.0,16456776852.0,12597767981.0,5582890983.0,5582890983.0,17640736550.0,15683374848.0,5382524422.0
23,9.수수료수익,896587598.0,566920368.0,12141805.0,,,,,,,,,30000.0,347661872.0,44644482.0
24,10.임대료,44521692995.0,41860676746.0,39412481971.0,36818658005.0,34415461934.0,29182908812.0,25563159723.0,25597089561.0,21943612673.0,18210486846.0,18210486846.0,15275638660.0,12048433293.0,11797214155.0
