,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010901-20011231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,Ⅰ.영업수익(OperatingRevenues),33651132000000.0,51171902000000.0,59722066000000.0,26639522000000.0,-20498650000000.0,-15466345000000.0,-14342873000000.0,8072077000000.0,5929417000000.0,-2559860064529.0
1,(1)이자수익(InterestIncome),14262939000000.0,13793234000000.0,15871450000000.0,13825366000000.0,9262976000000.0,7880745000000.0,7980945000000.0,4995954000000.0,3646365000000.0,1822590753717.0
2,1.예치금이자(InterestonDuefromBanks),158600000000.0,196204000000.0,296889000000.0,183049000000.0,115416000000.0,90496000000.0,50716000000.0,56846000000.0,50342000000.0,37597592813.0
3,2.단기매매증권이자(InterestonTradingSecurities),447984000000.0,431095000000.0,589196000000.0,448912000000.0,226291000000.0,191402000000.0,238002000000.0,181706000000.0,121815000000.0,
4,3.매도가능증권이자(InterestonAvailable-for-SaleSecurities),956089000000.0,1095123000000.0,1080609000000.0,827318000000.0,799381000000.0,694604000000.0,640107000000.0,644001000000.0,455107000000.0,
5,4.만기보유증권이자(InterestonHeld-to-MaturitySecurities),688217000000.0,571431000000.0,465079000000.0,396255000000.0,281506000000.0,146343000000.0,214807000000.0,297186000000.0,399929000000.0,
6,5.대출채권이자(InterestonLoans),11862732000000.0,11362152000000.0,13261951000000.0,11824482000000.0,7761594000000.0,6727935000000.0,6669086000000.0,3779896000000.0,2598517000000.0,1208968963194.0
7,6.리스채권이자(InterestonLeaseFinancing),91317000000.0,96334000000.0,83943000000.0,69761000000.0,31248000000.0,,,,,
8,7.기타이자수익(OtherInterestIncome),58000000000.0,40895000000.0,93783000000.0,75589000000.0,47540000000.0,29965000000.0,168227000000.0,36319000000.0,20655000000.0,15676510238.0
9,(2)유가증권평가및처분이익(GainonValuationandDispositionofSecurities),1055604000000.0,852765000000.0,1026467000000.0,1413527000000.0,1371400000000.0,,,,,
10,1.단기매매증권평가이익(ValuationGainonTradingSecurities),156249000000.0,32902000000.0,341665000000.0,40901000000.0,264053000000.0,185361000000.0,148014000000.0,32063000000.0,4238000000.0,
11,2.단기매매증권처분이익(GainonDispositionofTradingSecurities),229965000000.0,444593000000.0,316221000000.0,369377000000.0,458984000000.0,218595000000.0,234841000000.0,133377000000.0,89965000000.0,
12,3.매도가능증권처분이익(GainonDispositionofAvailable-for-SaleSecurities),643491000000.0,337553000000.0,285480000000.0,790449000000.0,339021000000.0,201065000000.0,102221000000.0,89579000000.0,84089000000.0,
13,4.매도가능증권손상차손환입(주석5)(ReversalofImpairedLossonAvailable-for-SaleSecurities),1830000000.0,9317000000.0,52935000000.0,162799000000.0,309342000000.0,,,,,
14,5.만기보유증권손상차손환입(주석5)(ReversalofImpairedLossonHeld-to-MaturitySecurities),24069000000.0,28400000000.0,30166000000.0,50001000000.0,,,,,,
15,(3)대출채권평가및처분이익(GainonValuationandDispositionofLoans),74466000000.0,80395000000.0,31748000000.0,45292000000.0,39342000000.0,,,,,
16,1.대손충당금환입액(ReversalofAllowanceforPossibleLosses),42194000000.0,4016000000.0,7119000000.0,7385000000.0,1495000000.0,18020000000.0,23710000000.0,21338000000.0,2022000000.0,799315171.0
17,2.대출채권처분이익(GainonSaleofLoans),32272000000.0,76379000000.0,24629000000.0,37907000000.0,37847000000.0,,,,,
18,(4)외환거래이익(GainsonForeignCurrencyTransaction),1578518000000.0,9913637000000.0,6434694000000.0,1374222000000.0,1834739000000.0,895545000000.0,730054000000.0,256046000000.0,214869000000.0,75628245200.0
19,(5)수수료수익(CommissionIncome),1428028000000.0,1422232000000.0,1471999000000.0,1642817000000.0,1202894000000.0,1250219000000.0,957650000000.0,1355949000000.0,842973000000.0,319298647160.0
20,1.수입수수료(CommissionReceived),1337031000000.0,1322210000000.0,1360158000000.0,1521166000000.0,1135172000000.0,1173140000000.0,883027000000.0,579963000000.0,831749000000.0,311847473984.0
21,2.수입보증료(GuaranteeFees),51304000000.0,49646000000.0,41247000000.0,28217000000.0,21735000000.0,21259000000.0,20830000000.0,13463000000.0,10438000000.0,5691126570.0
22,3.중도해지수수료(CommissionReceivedfromCancellationofCommodities),489000000.0,277000000.0,320000000.0,152000000.0,40000000.0,142000000.0,356000000.0,545000000.0,786000000.0,852278209.0
23,4.운용리스료수입(OperatingLeaseIncome),34268000000.0,44213000000.0,70100000000.0,91486000000.0,45947000000.0,,,,,
24,5.기타수입수수료(Other),4936000000.0,5886000000.0,174000000.0,1796000000.0,,,,,,907768397.0
25,(6)보험수익(InsuranceIncome),3302778000000.0,2869727000000.0,2405622000000.0,2397808000000.0,2058226000000.0,236784000000.0,32025000000.0,42934000000.0,,
26,1.보험료수익(PremiumIncome),3110302000000.0,2465728000000.0,2184355000000.0,2106677000000.0,1814929000000.0,144136000000.0,32025000000.0,42824000000.0,,
27,2.재보험수익(ReinsuranceIncome),99329000000.0,103956000000.0,107027000000.0,126342000000.0,127840000000.0,10833000000.0,,110000000.0,,
28,3.구분계정수익(OtherInsuranceIncome),93147000000.0,300043000000.0,114240000000.0,163145000000.0,115457000000.0,,,,,
29,(7)신탁업무운용수익(FeesonTrustAccounts),40571000000.0,45858000000.0,46509000000.0,49475000000.0,45224000000.0,44492000000.0,53709000000.0,48812000000.0,48752000000.0,22189320118.0
30,(8)배당금수익(GainonDividends),238163000000.0,170358000000.0,316457000000.0,106523000000.0,97061000000.0,,,,,
31,1.단기매매증권배당수익(DividendsonTradingSecurities),2743000000.0,2780000000.0,5139000000.0,7583000000.0,4862000000.0,5754000000.0,5008000000.0,2439000000.0,3371000000.0,
32,2.매도가능증권배당수익(DividendsonAvailable-for-SaleSecurities),235420000000.0,167578000000.0,311318000000.0,98940000000.0,92199000000.0,84458000000.0,73165000000.0,6057000000.0,12719000000.0,
33,(9)기타영업수익(OtherOperatingIncome),11670065000000.0,22023696000000.0,32163629000000.0,5833967000000.0,4632012000000.0,6098597000000.0,5372253000000.0,1677240000000.0,1440079000000.0,417970663652.0
34,1.파생상품관련이익(GainonDerivatives),10993992000000.0,20999520000000.0,30814698000000.0,5500804000000.0,4452341000000.0,4508354000000.0,3928524000000.0,1043246000000.0,1043567000000.0,
35,2.지급보증충당부채환입(ReversalofAllowanceforGuaranteesandAcceptance),,7938000000.0,,2489998000000.0,1842513000000.0,,,,,
36,3.기타충당부채환입액(ReversalofOtherAllowance),12984000000.0,1000000.0,117554000000.0,37000000.0,10490000000.0,,,,,
37,4.리스자산처분이익(GainonDispositionofLeaseAssets),6539000000.0,11796000000.0,8376000000.0,3667000000.0,3836000000.0,17690000000.0,415000000.0,7232000000.0,2105000000.0,
38,5.부의영업권환입액(AmortizationonNegativeGoodwill),737000000.0,685000000.0,685000000.0,685000000.0,685000000.0,685000000.0,685000000.0,685000000.0,514000000.0,123542740183.0
39,6.금거래이익(GainonGoldBanking),12484000000.0,217410000000.0,,2489998000000.0,1842513000000.0,,,,,
40,7.유동화자산운용수익(RevenuefromAssetBackedSecurities),267350000000.0,462412000000.0,452704000000.0,,84538000000.0,104248000000.0,139080000000.0,52440000000.0,,
41,8.기타영업잡수익(OtherOperatingIncome),375979000000.0,323934000000.0,723098000000.0,279275000000.0,23007000000.0,15395000000.0,11401000000.0,34594000000.0,8539000000.0,3503068287.0
42,Ⅱ.영업비용(OperatingExpenses),30415963000000.0,49073995000000.0,-56682772000000.0,22902107000000.0,-18074262000000.0,-13707080000000.0,-12981644000000.0,7286291000000.0,4990400000000.0,-2439767348454.0
43,(1)이자비용(InterestExpense),6478056000000.0,7285966000000.0,8865178000000.0,6867770000000.0,4782167000000.0,3842549000000.0,3985790000000.0,2996896000000.0,2352140000000.0,1243014882620.0
44,1.예수부채이자(InterestonDeposits),4099253000000.0,4345358000000.0,4915832000000.0,3665090000000.0,2767329000000.0,,,,,
45,2.차입금이자(InterestonBorrowings),387115000000.0,663673000000.0,1137180000000.0,969439000000.0,628024000000.0,487981000000.0,483078000000.0,473069000000.0,441794000000.0,266621027603.0
46,3.사채이자(InterestonDebentures),1930314000000.0,2181083000000.0,2686730000000.0,2131885000000.0,1329293000000.0,936368000000.0,891013000000.0,630406000000.0,392526000000.0,125028549076.0
47,4.기타이자비용(OtherInterestExpense),61374000000.0,95852000000.0,125436000000.0,101356000000.0,57521000000.0,37887000000.0,46228000000.0,27776000000.0,20732000000.0,27660259061.0
48,(2)유가증권평가및처분손실(LossonValuationandDispositionofSecurities),409357000000.0,604324000000.0,900295000000.0,357374000000.0,709204000000.0,,,,,
