,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,"I.매출액(주석14,22,23,25)",649748806537.0,634742378501.0,346834056676.0,329715802019.0,338679397251.0,338802929392.0,289521014845.0,169208514091.0,154820236347.0
1,1.게임매출,595498725105.0,579518238424.0,326445654194.0,314414351679.0,316923444344.0,309538223611.0,254890088672.0,,
2,2.로열티매출,48693129489.0,49189072180.0,20388402482.0,15301450340.0,21755952907.0,29264705781.0,,,
3,3.상품매출,42136410.0,1019485380.0,,,,,,,
4,4.기타매출,5514815533.0,5015582517.0,,,,,,,
5,"II.매출원가(주석22,23)",140310108801.0,153995749014.0,108548829965.0,72032995060.0,82694964251.0,78456153416.0,59319975017.0,29068162408.0,23456603211.0
6,1.게임매출원가,140267605379.0,153993136713.0,108548829965.0,72032995060.0,82694964251.0,77971514563.0,58734570652.0,,
7,2.상품매출원가,42503422.0,2612301.0,,,,,,,
8,III.매출총이익,509438697736.0,480746629487.0,238285226711.0,257682806959.0,255984433000.0,260346775976.0,230201039828.0,140140351683.0,131363633136.0
9,"IV.판매비와관리비(주석22,23)",266927991757.0,246747290056.0,188226361454.0,208198798799.0,212706601344.0,183714274702.0,133061276191.0,102577263150.0,54248466806.0
10,1.급여,62468729902.0,64449592261.0,48622626990.0,45118895277.0,42100135998.0,42523605633.0,31397525634.0,21835539580.0,10332008564.0
11,2.퇴직급여,5537778102.0,5509099980.0,2805602998.0,1608240029.0,1757745884.0,1121256342.0,798553093.0,555114294.0,475190151.0
12,3.잡급,913740526.0,946015042.0,1472322917.0,1216621212.0,1301604398.0,1111640766.0,808002927.0,483401824.0,243000087.0
13,4.복리후생비,14743330260.0,13370168539.0,12077884070.0,10052798884.0,9684375564.0,9604815971.0,6816670484.0,6283441509.0,3493023650.0
14,5.대손상각비,1809709681.0,2369135283.0,1686124366.0,2438758054.0,3608956705.0,4224487648.0,3286063054.0,4155637286.0,1606097314.0
15,6.여비교통비,3312693944.0,3566670356.0,2792211205.0,2061139107.0,2551282486.0,3219495410.0,2846398163.0,1725305991.0,662021188.0
16,7.접대비,374128175.0,230675226.0,351269266.0,338193681.0,301160572.0,244031760.0,245465151.0,117333852.0,91743371.0
17,8.통신비,1058864417.0,870480190.0,708075130.0,619580766.0,731863849.0,1183467030.0,412087373.0,497140492.0,274910669.0
18,9.수도광열비,822013498.0,800254735.0,541756772.0,213066219.0,176157116.0,356687337.0,433380757.0,96092607.0,133272614.0
19,10.세금과공과금,1865477071.0,2247297743.0,973946290.0,2186255847.0,1198112191.0,,,,
20,11.감가상각비,9672323839.0,6544773016.0,5184388804.0,5532517367.0,6241813953.0,5734998041.0,4258150536.0,2426058023.0,1711310413.0
21,12.무형자산상각비(주석9),6224995544.0,6276671660.0,2627615520.0,5248018050.0,4990628061.0,5298303946.0,4129457664.0,5968581044.0,221103676.0
22,13.지급임차료,5725619965.0,6252133616.0,7128000130.0,6860549023.0,6112273091.0,6049702868.0,2950098537.0,2893515362.0,996131889.0
23,14.수선비,115640083.0,70942000.0,77010320.0,55938866.0,123281325.0,32158277.0,134524067.0,12127128.0,8717450.0
