,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010327-20021231,20010327-20011231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,I.영업수익,34700400000000.0,54061689000000.0,86901260000000.0,26650125000000.0,19895974000000.0,14258430000000.0,13245482000000.0,10403445000000.0,9623990000000.0,10159156000000.0,10159156000000.0
1,(1)이자수익(주석29),14171615000000.0,14454021000000.0,16720561000000.0,13015787000000.0,9962664000000.0,7688745000000.0,7492898000000.0,7563951000000.0,6463576000000.0,-6196029000000.0,-6196029000000.0
2,1.예치금이자,287877000000.0,252415000000.0,338534000000.0,104671000000.0,62635000000.0,55174000000.0,28008000000.0,49573000000.0,55090000000.0,95744000000.0,95744000000.0
3,2.단기매매증권이자,695807000000.0,810901000000.0,942574000000.0,678575000000.0,408031000000.0,,,,,,
4,3.매도가능증권이자,457806000000.0,590056000000.0,840279000000.0,913049000000.0,624749000000.0,,,,,,
5,4.만기보유증권이자,846323000000.0,740655000000.0,517291000000.0,429207000000.0,468106000000.0,,,,,,
6,5.대출채권이자,11700415000000.0,11894153000000.0,13819963000000.0,10702366000000.0,8294730000000.0,6229527000000.0,5913150000000.0,5190680000000.0,4330436000000.0,4372703000000.0,4372703000000.0
7,6.기타이자수익,183387000000.0,165841000000.0,261920000000.0,187919000000.0,104413000000.0,102322000000.0,68737000000.0,89115000000.0,214366000000.0,103831000000.0,103831000000.0
8,(2)유가증권평가및처분이익,2353215000000.0,2044700000000.0,2641918000000.0,2188921000000.0,2508757000000.0,,,,,,
9,1.단기매매증권평가이익,166366000000.0,94982000000.0,282006000000.0,79439000000.0,64879000000.0,,,,,,
10,2.단기매매증권처분이익,477266000000.0,492255000000.0,375945000000.0,512482000000.0,264580000000.0,,,,,,
11,3.매도가능증권상환이익,11634000000.0,7155000000.0,6320000000.0,8037000000.0,5543000000.0,18974000000.0,18926000000.0,77151000000.0,37991000000.0,,
12,4.매도가능증권처분이익,934137000000.0,748173000000.0,163407000000.0,693746000000.0,619114000000.0,137639000000.0,171184000000.0,76323000000.0,184945000000.0,,
13,5.매도가능증권손상차손환입(주석11),22116000000.0,282000000.0,1789000000.0,77465000000.0,15118000000.0,,,,,,
14,6.신종증권평가이익,11689000000.0,203379000000.0,1516282000000.0,106953000000.0,,,,,,,
15,7.신종증권상환이익,730007000000.0,498474000000.0,296169000000.0,709255000000.0,,,,,,,
16,(3)대출채권평가및처분이익(주석12),180508000000.0,93864000000.0,25303000000.0,27893000000.0,20933000000.0,,,,,,
17,1.대손충당금환입액,7826000000.0,2605000000.0,5949000000.0,4551000000.0,7835000000.0,,,,,,
18,2.대출채권매각이익,172682000000.0,91259000000.0,19354000000.0,23342000000.0,13098000000.0,128945000000.0,33837000000.0,54601000000.0,137380000000.0,839164000000.0,839164000000.0
19,(4)외환거래이익,6523730000000.0,16077345000000.0,22410304000000.0,2898866000000.0,2359730000000.0,1975894000000.0,1612212000000.0,469900000000.0,287212000000.0,392253000000.0,392253000000.0
20,1.외환거래이익,6523730000000.0,16077345000000.0,22410304000000.0,2898866000000.0,2359730000000.0,1975894000000.0,1612212000000.0,469900000000.0,287212000000.0,392253000000.0,392253000000.0
21,(5)수수료수익(주석29),1654430000000.0,1664860000000.0,1777690000000.0,1774907000000.0,1495191000000.0,1274203000000.0,778897000000.0,1149687000000.0,1455030000000.0,-1709461000000.0,-1709461000000.0
22,1.수입수수료,1502844000000.0,1534193000000.0,1683999000000.0,1689039000000.0,1414475000000.0,1210771000000.0,629222000000.0,631608000000.0,541822000000.0,671691000000.0,671691000000.0
23,2.수입보증료,76701000000.0,81849000000.0,52261000000.0,29285000000.0,21853000000.0,17923000000.0,40344000000.0,26286000000.0,24446000000.0,23406000000.0,23406000000.0
24,3.신용카드수입수수료,35404000000.0,32725000000.0,18151000000.0,20822000000.0,28493000000.0,19629000000.0,85032000000.0,466281000000.0,861722000000.0,1010307000000.0,1010307000000.0
25,4.기타수입수수료,39481000000.0,16093000000.0,23279000000.0,35761000000.0,30370000000.0,25880000000.0,24299000000.0,25512000000.0,27040000000.0,4057000000.0,4057000000.0
26,(6)배당금수익,84921000000.0,99695000000.0,216542000000.0,100035000000.0,35825000000.0,,,,,,
27,1.단기매매증권배당금수익,12801000000.0,8291000000.0,20241000000.0,14753000000.0,7153000000.0,,,,,,
28,2.매도가능증권배당금수익,72120000000.0,91404000000.0,196301000000.0,85282000000.0,28672000000.0,,,,,,
29,(7)보험수익,1062365000000.0,670927000000.0,456449000000.0,,,,,,,,
30,1.보험료수익,1031089000000.0,645264000000.0,428009000000.0,,,,,,,,
31,2.재보험수익,31276000000.0,25663000000.0,28440000000.0,,,,,,,,
32,(8)기타영업수익(주석29),8669616000000.0,18956277000000.0,42652493000000.0,6643716000000.0,3512874000000.0,5295482000000.0,4973687000000.0,1689807000000.0,1705384000000.0,-2253666000000.0,-2253666000000.0
33,1.기타충당부채환입액,5911000000.0,1909000000.0,6186000000.0,4424000000.0,21392000000.0,,,,,,
34,2.파생상품관련거래이익,5840653000000.0,14553813000000.0,30319757000000.0,4063439000000.0,2378072000000.0,,,,,,
35,3.파생상품관련평가이익(주석32),2523230000000.0,3951671000000.0,11972898000000.0,2256828000000.0,945793000000.0,,,,,,
36,4.공정가액위험회피대상관련이익,77211000000.0,180101000000.0,76721000000.0,151869000000.0,34444000000.0,,,,,,
37,5.신탁업무운용수익,73682000000.0,71276000000.0,84910000000.0,80499000000.0,67293000000.0,,,,,,
38,6.유동화자산관련수익,47634000000.0,45314000000.0,23150000000.0,,,18442000000.0,25006000000.0,19227000000.0,32464000000.0,,
39,7.기타,101295000000.0,152193000000.0,151889000000.0,83491000000.0,65577000000.0,49686000000.0,3511000000.0,25630000000.0,191680000000.0,365390000000.0,365390000000.0
40,II.영업비용,32861666000000.0,52678428000000.0,85785601000000.0,23734463000000.0,17147607000000.0,12227877000000.0,12138088000000.0,10060209000000.0,8908732000000.0,9847439000000.0,9847439000000.0
41,(1)이자비용(주석29),7707675000000.0,8662877000000.0,10741533000000.0,7919712000000.0,5583311000000.0,3736134000000.0,3646914000000.0,3842402000000.0,3756314000000.0,-4495919000000.0,-4495919000000.0
42,1.예수부채이자,5056498000000.0,5499707000000.0,6984225000000.0,4971965000000.0,3574405000000.0,,,,,,
43,2.차입금이자,678627000000.0,900274000000.0,1275885000000.0,1047857000000.0,709851000000.0,464397000000.0,342268000000.0,387098000000.0,505631000000.0,757821000000.0,757821000000.0
