,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,"I.매출액(주석2,20,33)",2531092117809.0,2299495469941.0,2207997616719.0,1217465232035.0
1,1.렌탈매출,1285837706228.0,1217499381013.0,1162321204427.0,1103094883417.0
2,2.상품매출,154629639987.0,110384391831.0,118673188368.0,39982182655.0
3,3.제품매출,1002544770500.0,926204091124.0,886720727798.0,54617816344.0
4,4.공사매출,24043417800.0,,9618929695.0,
5,5.기타매출,64036583294.0,45407605973.0,30663566431.0,19770349619.0
6,"II.매출원가(주석20,33)",1308763881655.0,1194570157735.0,1177666227063.0,383767972418.0
7,1.렌탈매출원가,356822679855.0,341187043558.0,323875660773.0,333953073700.0
8,2.상품매출원가,133057496643.0,89371684809.0,82750408141.0,18573736918.0
9,3.제품매출원가,772703475322.0,735057149929.0,750635762368.0,25227996245.0
10,4.공사매출원가,19364728900.0,,6995584741.0,
11,5.기타매출원가,26815500935.0,28954279439.0,13408811040.0,6013165555.0
12,III.매출총이익,1222328236154.0,1104925312206.0,1030331389656.0,833697259617.0
13,IV.판매비와관리비,940826974359.0,865974626792.0,808452318082.0,672339290080.0
14,"1.급여(주석20,32)",174101932393.0,170511071853.0,137763265059.0,122406865870.0
15,"2.퇴직급여(주석15,20,32)",17361342705.0,20766465133.0,12886657709.0,12721520488.0
16,"3.주식보상비용(주석2,20,31)",3316354480.0,2625356594.0,1895651671.0,2846241456.0
17,4.판매수수료,253915133025.0,236168101985.0,259866123114.0,247049090106.0
18,5.판매촉진비,36796231983.0,27666206133.0,23849296436.0,15323177918.0
19,6.복리후생비(주석32),34238553032.0,30388505457.0,23793141598.0,19056194732.0
20,7.여비교통비,9589424033.0,7549126216.0,6159101340.0,3458325740.0
21,8.통신비,14982372430.0,14437067915.0,10729734256.0,10211177865.0
22,9.접대비,970941560.0,968127634.0,2169842927.0,681914516.0
23,10.회의비,2185929279.0,3025497614.0,2478015287.0,1075195890.0
24,11.교육훈련비,9524055505.0,8345306644.0,7689877085.0,7656256303.0
25,12.소모품비,26705035024.0,26610190331.0,18669648556.0,18273225319.0
26,13.도서인쇄비,2114414904.0,1565707964.0,1699468322.0,1153768488.0
27,14.광고선전비,60934859345.0,44954841663.0,43193633689.0,30824040102.0
28,15.수도광열비,1264296344.0,1109694771.0,748102698.0,459315176.0
29,16.임차료(주석32),44465284504.0,40479479640.0,35582744144.0,32635654468.0
30,17.세금과공과(주석32),2809825044.0,2382316383.0,2478260958.0,1066099555.0
31,18.보험료,758796829.0,857388934.0,679611866.0,652495183.0
32,19.운반비,27948220748.0,23027310506.0,25386932047.0,1415503942.0
33,20.지급수수료,90608124022.0,86788501853.0,73169323934.0,47231101595.0
34,21.수선비,4579873180.0,3505487789.0,4394074010.0,2860174335.0
35,22.차량유지비,472842220.0,428773376.0,394181360.0,60454401.0
36,"23.감가상각비(주석2,8,32)",14080234169.0,13710979405.0,15084602582.0,14191107234.0
37,24.견본비,1505030227.0,1546391688.0,280505280.0,630903874.0
38,25.판매보증비(주석16),1692311488.0,2676954615.0,1500841165.0,2454799839.0
39,"26.무형자산상각비(주석2,9)",24576241640.0,20749049891.0,15139897793.0,9097878696.0
40,27.경상개발비(주석10),9784971293.0,10035321859.0,9989125218.0,7400048186.0
41,28.대손상각비,11882180904.0,9341501333.0,14967237398.0,13589292500.0
42,29.렌탈자산폐기손실(주석8),41227865279.0,38504317564.0,44830018585.0,44131162430.0
43,30.소비자보상비,3624154177.0,3963557586.0,2345836797.0,1461299077.0
44,31.하자보수비(주석16),167210000.0,397132000.0,42100000.0,
45,32.교제비,1394003601.0,1304083243.0,1250517878.0,
46,33.해외시장개척비,53382130.0,63393549.0,26960641.0,
47,34.조사연구비,1490633503.0,2096158320.0,1823388943.0,
48,35.연구비(주석10),7348065335.0,5853983212.0,3426698016.0,
49,36.행사비,371100529.0,254977411.0,224090279.0,
50,37.포장비,40853223.0,37301324.0,69762674.0,
51,38.지불용역비,1519545757.0,1184888085.0,1131145553.0,
52,39.안전공해비,15087170.0,8643671.0,8010179.0,
53,40.잡비,410261345.0,85465648.0,634891035.0,265004796.0
54,V.영업이익,281501261795.0,238950685414.0,221879071574.0,161357969537.0
55,VI.영업외수익,38654358823.0,46095506382.0,56529073081.0,9551194462.0
56,1.이자수익,4974255522.0,4809851837.0,5889150330.0,1611139931.0
57,2.배당금수익,152977373.0,43257720.0,181175230.0,
58,3.임대료,314381362.0,506392127.0,549295558.0,116400000.0
59,4.수입수수료,1192045520.0,1162938706.0,,
60,5.외환차익,18409133264.0,28012903089.0,24563615419.0,438918222.0
61,6.외화환산이익,4307705670.0,2376369311.0,13928273679.0,1149441624.0
62,"7.지분법이익(주석2,6)",885178169.0,396271992.0,1176659537.0,
63,8.대손충당금환입,136422964.0,1386425304.0,3148511155.0,
64,9.장기투자증권처분이익,,803013000.0,,
65,"10.장기투자증권손상차손환입(주석2,5)",,782780000.0,,
66,11.유형자산처분이익,681549798.0,271092359.0,318869143.0,202278.0
67,12.부의영업권환입,213607698.0,213607700.0,1449881112.0,
68,13.하자보수충당부채환입(주석16),,22000000.0,7530000.0,
69,14.자산수증이익,203812000.0,,,
70,15.파생상품거래이익,159600000.0,,,
71,16.잡이익,7023689483.0,5308603237.0,2558542973.0,1629285788.0
72,VII.영업외비용,68091709758.0,72949922838.0,94386233173.0,15360634253.0
73,1.이자비용,29257937166.0,28580759302.0,27854242266.0,8011427926.0
74,2.기부금,1154018627.0,970843071.0,3284918436.0,660086636.0
75,3.기타의대손상각비,3109665248.0,1428084051.0,1417209557.0,1080149576.0
76,4.외환차손,15688522536.0,25317590532.0,45723497278.0,439853454.0
77,5.외화환산손실,2278109688.0,5270016404.0,2462508090.0,19788021.0
78,6.단기투자증권처분손실,2453310.0,,,
79,7.장기투자증권처분손실,695972714.0,1516507095.0,,
80,8.재고자산폐기손실,10208072.0,1461488186.0,544601899.0,
81,"9.장기투자증권손상차손(주석2,5)",726055036.0,2109616160.0,,
82,"10.지분법손실(주석2,6)",2816641695.0,555537152.0,2561388385.0,4507173287.0
83,11.지분법적용투자주식처분손실(주석6),,87837254.0,,
84,12.지분법적용투자주식손상차손(주석2),,219288000.0,,
85,13.유형자산처분손실,1494976350.0,1177841275.0,6808407544.0,332831626.0
86,14.유형자산손상차손,650577138.0,,,
87,15.운휴자산감가상각비,554863872.0,848425651.0,,
88,16.매출채권처분손실,1318739968.0,1812987948.0,2055027690.0,
89,17.차입금상환손실,1575887653.0,332982102.0,,
90,18.잡손실,6757080685.0,1260118655.0,1674432028.0,305236506.0
91,VIII.법인세비용차감전계속사업이익,252063910860.0,212096268958.0,184021911482.0,155548529746.0
92,"IX.계속사업이익법인세비용(주석2,21)",41177321204.0,52190683218.0,56306520948.0,
93,X.계속사업이익,210886589656.0,159905585740.0,127715390534.0,116118350015.0
94,XI.중단사업손실(주석36),,1177882780.0,1689311099.0,
95,"XII.당기순이익(주석2,25)",210886589656.0,158727702960.0,126026079435.0,116118350015.0
96,1.지배회사지분순이익,177428647963.0,152861663471.0,127343814386.0,116104237504.0
97,2.소수주주지분순이익(손실),33457941693.0,5866039489.0,-1317734951.0,14112511.0
98,"XIII.주당손익(주석2,23)",,,,
99,1.지배회사지분기본주당계속사업이익,2332.0,2035.0,1720.0,1563.0
100,2.지배회사지분기본주당순이익,2332.0,2029.0,1711.0,1563.0
101,3.지배회사지분희석주당계속사업이익,2328.0,2031.0,1720.0,
102,4.지배회사지분희석주당순이익,2328.0,2025.0,1711.0,
