,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19991231,19990101-19991231,19981231,19980101-19981231,19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,"I.매출액(주2,22,25,26)",45073575707000.0,29254382089000.0,27483590129000.0,20892299349000.0,16514958482000.0,13906260269000.0,11903707500000.0,9555268874000.0,8867132296000.0,7595181452000.0,8872553300000.0,8250358730000.0,8250358730000.0,12591063147000.0,12591063147000.0,8396062583000.0
1,"II.매출원가(주2,9,22,25,26)",37432427855000.0,24708119016000.0,22837667656000.0,17243708609000.0,14302927195000.0,12769193181000.0,10996143834000.0,8283518718000.0,7634357000000.0,6316298400000.0,7206599038000.0,6685174660000.0,6685174660000.0,10254902061000.0,10254902061000.0,6976610289000.0
2,III.매출총이익,7641147852000.0,4546263073000.0,4645922473000.0,3648590740000.0,2212031287000.0,1137067088000.0,907563666000.0,1271750156000.0,1232775296000.0,1278883052000.0,1665954262000.0,1565184070000.0,1565184070000.0,2336161086000.0,2336161086000.0,1419452294000.0
3,IV.판매비와관리비,2297983117000.0,1521580226000.0,1463958268000.0,1085045549000.0,927270974000.0,823054280000.0,829834513000.0,793037130000.0,711770933000.0,739123354000.0,738766235000.0,736441774000.0,746953755000.0,973227954000.0,973227954000.0,602148114000.0
4,급여(주22),615476246000.0,481206150000.0,475007841000.0,341936690000.0,281677439000.0,264332927000.0,263535370000.0,234491056000.0,193102733000.0,173222666000.0,164171716000.0,160553369000.0,160553369000.0,179439544000.0,179439544000.0,160836652000.0
5,퇴직급여(주12),52574843000.0,35323527000.0,45529131000.0,36302403000.0,38006558000.0,31039658000.0,28893766000.0,40000848000.0,36660533000.0,23276498000.0,24455962000.0,16415773000.0,16415773000.0,16549519000.0,16549519000.0,17340493000.0
6,복리후생비(주28),119431470000.0,104956670000.0,101052785000.0,92663371000.0,76691510000.0,65676548000.0,68539706000.0,54726234000.0,46861161000.0,47717230000.0,38702498000.0,36359221000.0,36359221000.0,36212962000.0,36212962000.0,26957073000.0
7,여비교통비,25427264000.0,19528435000.0,21110987000.0,16629734000.0,13824673000.0,10706373000.0,9539336000.0,10060837000.0,9692761000.0,9897801000.0,9570413000.0,10416181000.0,10416181000.0,13563514000.0,13563514000.0,9441645000.0
8,교육훈련비(주29),6360699000.0,5039341000.0,14574912000.0,10482657000.0,7030440000.0,8113019000.0,7912934000.0,3859186000.0,2968207000.0,2146171000.0,1496445000.0,1064760000.0,1064760000.0,1468722000.0,1468722000.0,1713853000.0
9,통신비,12279020000.0,11396735000.0,10506424000.0,5304625000.0,5080034000.0,4762929000.0,4056877000.0,3980883000.0,4132477000.0,4413106000.0,3270924000.0,3458545000.0,3458545000.0,6097014000.0,6097014000.0,4582391000.0
10,사무용품비,6074333000.0,5818574000.0,6255329000.0,5451261000.0,4163090000.0,4540986000.0,3928121000.0,2712868000.0,2864661000.0,4460177000.0,2252443000.0,1945370000.0,1945370000.0,2684935000.0,2684935000.0,2584757000.0
11,도서인쇄비,3033949000.0,2494959000.0,2538571000.0,1954995000.0,3546184000.0,3476967000.0,2204815000.0,1972554000.0,2075728000.0,1679431000.0,1669702000.0,1321189000.0,1321189000.0,1913833000.0,1913833000.0,2340678000.0
12,소모품비,3399474000.0,3365417000.0,4520607000.0,3230437000.0,2200950000.0,1790846000.0,1051273000.0,1031955000.0,1123302000.0,775586000.0,567940000.0,698160000.0,698160000.0,896148000.0,896148000.0,676567000.0
13,동력비,2095068000.0,2295654000.0,1557997000.0,1178912000.0,973760000.0,1040900000.0,125476000.0,140082000.0,83107000.0,125425000.0,160303000.0,208736000.0,208736000.0,553078000.0,553078000.0,480234000.0
14,수도광열비,6249896000.0,3381343000.0,3141395000.0,1888851000.0,1846549000.0,1756468000.0,1440678000.0,1343487000.0,1036141000.0,1096281000.0,707479000.0,362175000.0,362175000.0,2990014000.0,2990014000.0,534374000.0
15,광고선전비,67668334000.0,47670331000.0,61875115000.0,32879358000.0,21024565000.0,17685940000.0,16331853000.0,15792538000.0,14155840000.0,13173784000.0,15683004000.0,16523748000.0,16523748000.0,29601453000.0,29601453000.0,22326906000.0
16,조세공과금,30025382000.0,18004710000.0,17447261000.0,9667724000.0,9461620000.0,6617459000.0,5021305000.0,3908780000.0,4567329000.0,2987788000.0,2380652000.0,3971217000.0,3971217000.0,11070455000.0,11070455000.0,2599814000.0
17,접대비,12551488000.0,10434398000.0,10769438000.0,4824183000.0,4118174000.0,3297661000.0,3185122000.0,3219695000.0,3170838000.0,2897705000.0,2406835000.0,2538439000.0,2538439000.0,6247112000.0,6247112000.0,7523662000.0
18,경상개발비(주9),88973990000.0,77502000000.0,79637967000.0,75211851000.0,52106240000.0,55230313000.0,40671835000.0,39525226000.0,42279912000.0,27036668000.0,21578173000.0,27153135000.0,27153135000.0,24894664000.0,24894664000.0,31094532000.0
