,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20011231,20010101-20011231,20001231,20000101-20001231,20000101-20000120,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,"I.매출액(주석12,14,25)",11217013485870.0,10390594793523.0,8036493542634.0,,5449871424247.0,4547181993666.0,4854095208233.0,5348326661401.0,5478998066590.0,6353361203422.0,6353361203422.0,6392246057657.0,6392246057657.0,12745607261079.0,5785176955230.0,5844379484.0,9160121977.0
1,공사수익,10837563035102.0,10199407540851.0,7762986679426.0,5518132963168.0,4741638428166.0,4366948185574.0,4519776868683.0,4845342961763.0,5077956413319.0,5663142457247.0,5663142457247.0,5608612960984.0,5608612960984.0,11271755418231.0,5113271787176.0,,
2,분양수익및기타매출,379450450768.0,191187252672.0,273506863208.0,557919037207.0,708232996081.0,,,,,,,,,,,,
3,"II.매출원가(주석12,14,25)",9908906153288.0,9441751553493.0,7148716585558.0,5420804881536.0,4793506028127.0,3933023909309.0,4368894362398.0,4847705070150.0,5105394679294.0,6282531323142.0,6282531323142.0,5961353148010.0,5961353148010.0,12243884471152.0,5175899809896.0,5138029911.0,8082544819.0
4,공사원가,9472760220393.0,9279839809809.0,6922558380366.0,4847375226503.0,4174352812424.0,3719723487448.0,4044741525300.0,4340844014320.0,4738435614768.0,5657716988389.0,5657716988389.0,5237802231818.0,5237802231818.0,10895519220207.0,4581115921437.0,,
5,분양및기타매출원가,436145932895.0,161911743684.0,226158205192.0,,,213300421861.0,324152837098.0,506861055830.0,366959064526.0,624814334753.0,624814334753.0,723550916192.0,723550916192.0,1348365250945.0,594783888459.0,,
6,III.매출총이익(주석25),1308107332582.0,948843240030.0,887776957076.0,655247118839.0,656365396120.0,614158084357.0,485200845835.0,500621591251.0,373603387296.0,70829880280.0,70829880280.0,430892909647.0,430892909647.0,501722789927.0,609277145334.0,706349573.0,1077577158.0
7,IV.판매비와관리비,552805699291.0,367802150587.0,320873708368.0,256957632013.0,237242281696.0,162668441791.0,155871934553.0,182519188698.0,198276296660.0,456842126116.0,456842126116.0,407992627314.0,407992627314.0,864834753430.0,288316141667.0,202985223.0,400328801.0
8,급여(주석27),160953975781.0,133135844704.0,114356433779.0,92646523267.0,80491966070.0,62974297370.0,59258812893.0,61877743245.0,59900615473.0,64470328136.0,64470328136.0,65504638003.0,65504638003.0,129974966139.0,62662809718.0,59242508.0,111209160.0
