,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140630,20140331,20131231,20130930,20130630,20130331,20121231-20120101,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090101,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19961231,19000101
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,3792161000000.0,3939057000000.0,3922370000000.0,3604460000000.0,5151260000000.0,4613085000000.0,4724682000000.0,4864686000000.0,5341002000000.0,5367809000000.0,4947116000000.0,5206527000000.0,5396896000000.0,4663115000000.0,4075304000000.0,4169653000000.0,4225325000000.0,4155560000000.0,3891292000000.0,3796667000000.0,3810774000000.0,3851206000000.0,3662049000000.0,3892914000000.0,3709672000000.0,3529998000000.0,3753655000000.0,3908468000000.0,3407115000000.0,3407115000000.0,3580442000000.0,3306796000000.0,3234812000000.0,3043089000000.0,3227780000000.0,3163447000000.0,3372756000000.0,2801323000000.0,2498200000000.0,2389691000000.0,2719754000000.0,2307018000000.0,2124613000000.0,30517228000000.0,24296606000000.0,19561541000000.0,20831200000000.0,19592232000000.0,19892864000000.0,11129541000000.0,757853545000.0,1486970342000.0,1482570749000.0,-1801499572.0,-2591510368.0,-1678443612000.0,3043089000000.0
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,1540602000000.0,1337102000000.0,1478576000000.0,1483367000000.0,1084488000000.0,1054293000000.0,973333000000.0,1221179000000.0,1345693000000.0,1309949000000.0,629697000000.0,881734000000.0,1077256000000.0,1129035000000.0,889137000000.0,973368000000.0,1049047000000.0,870393000000.0,788446000000.0,854304000000.0,748158000000.0,497211000000.0,667350000000.0,856275000000.0,682142000000.0,573313000000.0,584088000000.0,721277000000.0,508366000000.0,508366000000.0,531065000000.0,445462000000.0,463388000000.0,441265000000.0,583859000000.0,425895000000.0,515637000000.0,349973000000.0,294548000000.0,290733000000.0,362764000000.0,382340000000.0,539069000000.0,5422394000000.0,3679568000000.0,2770945000000.0,4398061000000.0,3649630000000.0,2715146000000.0,1250001000000.0,255926917000.0,215465047000.0,178453544000.0,,,,441265000000.0
2,entity00120021_udf_BS_201711311153764_CurrentAssets,금융기관예치금,Financial institution deposits,재무상태표 [abstract],자산 [abstract],유동자산,금융기관예치금,576189000000.0,567691000000.0,366350000000.0,371421000000.0,354503000000.0,348699000000.0,296191000000.0,399082000000.0,335286000000.0,438214000000.0,942409000000.0,253604000000.0,114673000000.0,206845000000.0,155163000000.0,290574000000.0,278067000000.0,375748000000.0,304456000000.0,365620000000.0,220866000000.0,335558000000.0,443259000000.0,290913000000.0,310031000000.0,341253000000.0,329275000000.0,192132000000.0,162094000000.0,162094000000.0,121229000000.0,194716000000.0,109883000000.0,130974000000.0,106613000000.0,126314000000.0,60404000000.0,155882000000.0,196952000000.0,191962000000.0,169315000000.0,162306000000.0,149660000000.0,,,,,,,,,,,,,,130974000000.0
3,dart_CurrentDerivativeAsset,유동성파생상품자산,Current derivative asset,재무상태표 [abstract],자산 [abstract],유동자산,유동성파생상품자산,1643000000.0,2250000000.0,1112000000.0,2424000000.0,715000000.0,1241000000.0,1006000000.0,1372000000.0,1018000000.0,1798000000.0,451000000.0,1302000000.0,1785000000.0,1376000000.0,2827000000.0,3559000000.0,3652000000.0,1138000000.0,891000000.0,1928000000.0,3766000000.0,1409000000.0,342000000.0,153000000.0,254000000.0,196000000.0,111000000.0,231000000.0,1073000000.0,1073000000.0,3298000000.0,699000000.0,262000000.0,90000000.0,383000000.0,403000000.0,439000000.0,3710000000.0,4983000000.0,5350000000.0,7151000000.0,100000000.0,4354000000.0,51331000000.0,10885000000.0,45108000000.0,5149000000.0,175122000000.0,65980000000.0,372583000000.0,,,,,,,90000000.0
4,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,934394000000.0,1450939000000.0,1086591000000.0,1121856000000.0,1094343000000.0,2755238000000.0,2742087000000.0,2616391000000.0,2712809000000.0,3023304000000.0,2553546000000.0,2228535000000.0,2140140000000.0,2551435000000.0,2179935000000.0,2024354000000.0,1852359000000.0,2200006000000.0,1962748000000.0,1778618000000.0,1873521000000.0,2263398000000.0,1716628000000.0,1774601000000.0,2003643000000.0,1766879000000.0,1975820000000.0,1939017000000.0,1957718000000.0,1957718000000.0,1942987000000.0,1744292000000.0,1591388000000.0,1723770000000.0,1681506000000.0,1792945000000.0,1850228000000.0,1639322000000.0,1365037000000.0,1322366000000.0,,1322389000000.0,965873000000.0,9086857000000.0,8251800000000.0,6490243000000.0,6513897000000.0,5713952000000.0,7533362000000.0,4017596000000.0,183234064000.0,657362530000.0,779495492000.0,846968540.0,1205815765.0,880933495000.0,1723770000000.0
5,entity00120021_udf_BS_2017113111726776_CurrentAssets,기타채권,"Other receivables, net",재무상태표 [abstract],자산 [abstract],유동자산,기타채권,302126000000.0,83727000000.0,82624000000.0,77288000000.0,453151000000.0,25118000000.0,65890000000.0,66219000000.0,422930000000.0,83816000000.0,81722000000.0,59230000000.0,336107000000.0,74481000000.0,65762000000.0,66263000000.0,298920000000.0,67236000000.0,76800000000.0,67270000000.0,259540000000.0,77880000000.0,54908000000.0,239568000000.0,75546000000.0,56076000000.0,67278000000.0,228950000000.0,73969000000.0,73969000000.0,66748000000.0,59591000000.0,254881000000.0,54751000000.0,58273000000.0,54649000000.0,282317000000.0,61746000000.0,46663000000.0,42218000000.0,,61434000000.0,74471000000.0,,,,,,,,,,,,,,54751000000.0
6,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,8125000000.0,6583000000.0,8267000000.0,7870000000.0,8125000000.0,6957000000.0,7940000000.0,7533000000.0,7346000000.0,6703000000.0,8152000000.0,7757000000.0,7902000000.0,7854000000.0,9593000000.0,7961000000.0,5402000000.0,4842000000.0,6991000000.0,6074000000.0,4895000000.0,4761000000.0,4699000000.0,4381000000.0,2805000000.0,5705000000.0,3842000000.0,,5885000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3177000000.0
7,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,350420000000.0,428363000000.0,471561000000.0,462255000000.0,397764000000.0,305391000000.0,467136000000.0,418728000000.0,374168000000.0,284668000000.0,482042000000.0,448892000000.0,391216000000.0,369232000000.0,386174000000.0,399817000000.0,357061000000.0,292679000000.0,326412000000.0,329207000000.0,323090000000.0,361815000000.0,366527000000.0,311274000000.0,291032000000.0,383128000000.0,336244000000.0,351967000000.0,261026000000.0,261026000000.0,401952000000.0,404121000000.0,402975000000.0,354521000000.0,385431000000.0,425426000000.0,355513000000.0,343513000000.0,282802000000.0,273850000000.0,155491000000.0,188239000000.0,178074000000.0,,,,,,,,,,,,,,354521000000.0
