,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20121231,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20040101-20041231,19000101
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,6533603337706.0,5643714459664.0,5497194768111.0,5365623966330.0,5625318730005.0,5385569586465.0,5671008556417.0,4588634510533.0,4699863039080.0,4784227776883.0,4381998008369.0,4275605796657.0,4241693538431.0,4199933246655.0,4081124695311.0,3059385431656.0,2772728487682.0,2639382642620.0,2437143379000.0,2217693549000.0,2076626862000.0,1945783670000.0,1336088790676.0,1738943197980.0,1431170126251.0,1380417763219.0,1292881880630.0,1282511554066.0,1126085611918.0,918395544621.0,1039035228285.0,768417483819.0,531042297922.0,328329648273.0,275847994971.0,165109148311.0,165109148311.0,
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,4330345190881.0,3740513761418.0,3254602471212.0,3446330787704.0,3320018416763.0,3322884102567.0,3452349061266.0,2011706488277.0,2006074817859.0,1907575060667.0,1972458471829.0,2109506483324.0,1854068677156.0,1726231781291.0,1737237144546.0,792696998301.0,663826495234.0,813391895453.0,801487887000.0,816081376000.0,819749090000.0,722526313000.0,435257840429.0,395434661113.0,466270679042.0,425102803267.0,373445270445.0,564138380942.0,554943904046.0,507619336843.0,524031611427.0,429304618428.0,110716251354.0,121182117765.0,167027380847.0,31493024713.0,31493024713.0,
2,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,444204438265.0,289910618872.0,590638474268.0,264717040000.0,482371973045.0,444702261235.0,519791550963.0,820526933576.0,879514824195.0,1333889498274.0,1003685420817.0,829146585572.0,1058986277623.0,1243188526333.0,1303666850918.0,1274818353261.0,1218255551369.0,931889351371.0,774054596000.0,594573655000.0,402253175000.0,403734084000.0,295369520000.0,645254201484.0,339580090506.0,452133057643.0,509899897861.0,382516345805.0,252343817484.0,131556111229.0,182768079800.0,77189541375.0,245193267971.0,72853662397.0,16749914303.0,80768082284.0,80768082284.0,
3,entity00266961_udf_BS_201889131421880_CurrentAssets,당기손익인식금융자산,current fair value financial asset,재무상태표 [abstract],자산 [abstract],유동자산,당기손익인식금융자산,,,,,,,,,,274532710666.0,265691495081.0,295381862570.0,377284917569.0,352050575067.0,311060856109.0,320982984222.0,285652132004.0,295150847205.0,285987877000.0,275151382000.0,299411828000.0,299154134000.0,242082589307.0,280975949232.0,267790688202.0,176141739158.0,157783609632.0,82746280206.0,63983967064.0,,375432892.0,595314556.0,1005482066.0,,,,,
4,entity00266961_udf_BS_20185313452364_CurrentAssets,당기손익-공정가치금융자산,Current Fair Value through Profit or Loss Financial Instruments,재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치금융자산,2043077223.0,12920430454.0,35056302151.0,41984580800.0,213980047951.0,230774469760.0,225135361965.0,417269163865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권및기타채권,1368324066834.0,1211072909858.0,1241328882393.0,1275549933538.0,1213307153998.0,1101551045302.0,1148911837871.0,1054071837081.0,1031388820506.0,1026872808889.0,885965929435.0,833261198567.0,784859453129.0,760913097079.0,631130431644.0,574731252456.0,525805243429.0,526632267394.0,455303984000.0,424079774000.0,406698115000.0,421566102000.0,324456229255.0,291010455012.0,238134323948.0,185411174352.0,175729468332.0,173827519874.0,196481966246.0,186575198760.0,,,,,,,,
6,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,Current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],유동자산,매도가능금융자산,,,,,,,,,,79435727110.0,80418611660.0,43991153912.0,53186474907.0,31239415661.0,30897852429.0,29635193502.0,18417153222.0,19350684347.0,39170593000.0,38679590000.0,38242736000.0,37980980000.0,4516250000.0,40386743849.0,29859084385.0,63904214942.0,6063032967.0,6826087434.0,159341651254.0,36286175609.0,,,,,,,,
7,entity00266961_udf_BS_20185313652863_CurrentAssets,기타포괄손익-공정가치금융자산,Current Fair Value through Other Comprehensive Income Financial Instruments,재무상태표 [abstract],자산 [abstract],유동자산,기타포괄손익-공정가치금융자산,50950660589.0,63916531256.0,51235194141.0,46048851053.0,45829455465.0,62725505906.0,74083150934.0,89126861967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
