,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20130331,20111231,20110331,20080401-20090331,20070331,20060331,20050331,20040331,20030331,20020331,20010331,20000331,19000101
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,"Ⅰ.현금및현금성자산(주석9,37)",3067129000000.0,5207649000000.0,2616415000000.0,3442005000000.0,3154847000000.0,3434345000000.0,3625617000000.0,3402460000000.0,2128743000000.0,4055552000000.0,2695588000000.0,2286719000000.0,2264238000000.0,4723503000000.0,2185353000000.0,1677936000000.0,2220154000000.0,2276606000000.0,2015632000000.0,1684161000000.0,1410503000000.0,4216720000000.0,3026800000000.0,2286247000000.0,1580697000000.0,933889000000.0,1521820.0,,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,3479596.0
1,"Ⅱ.당기손익인식금융자산(주석4,9)",5213875000000.0,4072253000000.0,3829511000000.0,3555249000000.0,3506000000000.0,3488145000000.0,4478911000000.0,4836694000000.0,3069904000000.0,2861654000000.0,2994048000000.0,3326620000000.0,3196525000000.0,2094584000000.0,2920115000000.0,2733641000000.0,2453810000000.0,2337133000000.0,3251654000000.0,3779998000000.0,2918369000000.0,2542066000000.0,594869000000.0,2071993000000.0,155583000000.0,797622000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
2,"Ⅲ.매도가능금융자산(주석5,9)",163072612000000.0,166997576000000.0,165754373000000.0,161013491000000.0,155212678000000.0,147638963000000.0,146776095000000.0,144396901000000.0,144298657000000.0,146042900000000.0,147267389000000.0,146016126000000.0,140496690000000.0,138214702000000.0,141720033000000.0,139375754000000.0,134213418000000.0,131894930000000.0,129381545000000.0,126715741000000.0,129198118000000.0,123984920000000.0,112693370000000.0,110065875000000.0,90089346000000.0,81157035000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
3,"Ⅳ.만기보유금융자산(주석6,9)",279254000000.0,280147000000.0,280233000000.0,281558000000.0,281886000000.0,280873000000.0,282190000000.0,281229000000.0,281153000000.0,297696000000.0,301297000000.0,298732000000.0,310942000000.0,328992000000.0,331234000000.0,421041000000.0,422194000000.0,421906000000.0,424892000000.0,748480000000.0,746384000000.0,748147000000.0,748808000000.0,884190000000.0,1154966000000.0,1257826000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
4,"V.대출채권및기타수취채권(주석7,9)",73114122000000.0,71754486000000.0,70761940000000.0,70169925000000.0,71358973000000.0,73182513000000.0,70768064000000.0,69167165000000.0,69596566000000.0,67072166000000.0,65883935000000.0,62342551000000.0,60939532000000.0,60503788000000.0,56711879000000.0,54782529000000.0,52982292000000.0,36462636000000.0,34796314000000.0,33625559000000.0,33432039000000.0,32687421000000.0,29793530000000.0,29307100000000.0,28283979000000.0,29695291000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
5,"Ⅵ.위험회피목적파생상품자산(주석8,9)",609048000000.0,561431000000.0,665475000000.0,516732000000.0,561382000000.0,710094000000.0,620787000000.0,556223000000.0,761841000000.0,689402000000.0,240452000000.0,294781000000.0,501161000000.0,314897000000.0,462108000000.0,221162000000.0,197769000000.0,82796000000.0,34223000000.0,119517000000.0,232200000000.0,165433000000.0,495748000000.0,293802000000.0,224001000000.0,329169000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
6,Ⅶ.관계기업투자(주석10),1331047000000.0,1379148000000.0,1358997000000.0,1382463000000.0,1337892000000.0,1346611000000.0,1703680000000.0,1691982000000.0,1637920000000.0,1629010000000.0,1611100000000.0,1584932000000.0,1547953000000.0,1490325000000.0,301122000000.0,298462000000.0,295203000000.0,2603098000000.0,2573879000000.0,2512182000000.0,2478154000000.0,2463717000000.0,2372841000000.0,1901920000000.0,1872190000000.0,1848598000000.0,,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
7,"Ⅷ.금융리스채권(주석7,9)",188496000000.0,237508000000.0,272297000000.0,308808000000.0,347664000000.0,376524000000.0,416436000000.0,449117000000.0,512149000000.0,559238000000.0,616406000000.0,662338000000.0,733970000000.0,792448000000.0,827384000000.0,868007000000.0,929105000000.0,,,,,,,,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
8,IX.매각예정자산(주석41),,98637000000.0,,,,,,,,49691000000.0,15840000000.0,45507000000.0,32857000000.0,260415000000.0,2913000000.0,296859000000.0,300723000000.0,6530000000.0,,,2195000000.0,2195000000.0,,41880000000.0,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
9,X.투자부동산(주석11),6538132000000.0,6448735000000.0,6948931000000.0,6930370000000.0,7284359000000.0,7297969000000.0,7233151000000.0,7239273000000.0,7291714000000.0,6812422000000.0,6840546000000.0,6769910000000.0,6799542000000.0,6854774000000.0,7064193000000.0,7167135000000.0,7309591000000.0,7555922000000.0,7349613000000.0,7309566000000.0,6802221000000.0,6146006000000.0,6310399000000.0,4572835000000.0,3885648000000.0,3770900000000.0,-745881.0,,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-842402.0
10,XI.유형자산(주석12),733260000000.0,735119000000.0,784007000000.0,788764000000.0,802519000000.0,822577000000.0,993713000000.0,1007796000000.0,1087891000000.0,1065818000000.0,1170821000000.0,1211600000000.0,1312269000000.0,1454095000000.0,1579342000000.0,1545482000000.0,1451072000000.0,1756873000000.0,1756167000000.0,1739314000000.0,1724491000000.0,1800669000000.0,1783521000000.0,1696041000000.0,1632149000000.0,1514315000000.0,-4425133.0,3948768000000.0,3776265000000.0,3495605000000.0,3528356000000.0,3746408000000.0,-3958488206000.0,-4337186604000.0,-4231036815000.0,-3957000.0
11,XII.무형자산(주석13),717768000000.0,743372000000.0,783107000000.0,811638000000.0,848419000000.0,850605000000.0,935426000000.0,967856000000.0,974591000000.0,1004315000000.0,906879000000.0,880776000000.0,864500000000.0,876511000000.0,847015000000.0,838429000000.0,854105000000.0,520765000000.0,513451000000.0,489487000000.0,478934000000.0,451404000000.0,193790000000.0,185156000000.0,197026000000.0,195682000000.0,88818.0,63339000000.0,68245000000.0,83413000000.0,98376000000.0,73734000000.0,-9319260000.0,-9941813000.0,-79963970000.0,68471.0
12,XIII.사용권자산(주석40),218315000000.0,206188000000.0,,,,,,,,,,,,,,,,,,,,,,,,,-14435.0,-11747000000.0,-6144000000.0,-4662000000.0,-8996000000.0,-3032000000.0,-781068841000.0,-535382803000.0,-864037779000.0,-14701.0
