,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,자산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I.유동자산,2306020702609.0,2087864326836.0,1918281299217.0,1688741454325.0,1764101071025.0,1576408673266.0,1661475035021.0,1709082026703.0,1906382514091.0,1772726949121.0,1707525581384.0,1126886193227.0,1139471192890.0,1191628829759.0,1032652102606.0,1071096057972.0,1024874170090.0,1082774018109.0,1094758449736.0,1023184405630.0,904353770662.0,1019545797664.0,923894142164.0,861988284510.0,833365967749.0,785504544784.0,729552029430.0,742487077863.0,705844371422.0,674303525826.0,638973438675.0,722757843882.0,607854549387.0,622521053371.0,303878732566.0,367360701994.0,373404537873.0,324292192700.0,302589779443.0,194602077934.0,160961939080.0
2,"현금및현금성자산(주석34,35,36)",285991150297.0,303443276788.0,206332770411.0,169089025168.0,249826770058.0,185592882727.0,256040681563.0,189925362329.0,282358729220.0,187255812447.0,242745712422.0,160084935044.0,175198623935.0,144829329639.0,182074095530.0,167728994136.0,267588089726.0,248092386501.0,447189100009.0,344638772456.0,189087944342.0,202756536966.0,182401432079.0,137634603309.0,130403213734.0,123330761249.0,141384919758.0,161006485421.0,137197180685.0,123040836583.0,59153505935.0,59453163281.0,95140096775.0,88893399301.0,51378552613.0,51149495249.0,49368504295.0,30487324019.0,42923093947.0,19016075736.0,42539030351.0
3,"단기금융상품(주석5,22,34,35)",817134625402.0,676809612966.0,297167225459.0,217444007648.0,256342745165.0,232653095174.0,268750324362.0,281396665305.0,145239442612.0,92695012937.0,143149100118.0,118578907504.0,149420042362.0,144970886049.0,151962898878.0,252186693652.0,268893007674.0,306198349321.0,300797862652.0,358559630958.0,408233464329.0,498596742391.0,423568673308.0,401386798750.0,376057169194.0,378576326931.0,361367308267.0,352899105947.0,343191464173.0,313034856256.0,423652707063.0,532651883787.0,365000000000.0,365037427430.0,180355452520.0,240577094326.0,250849194248.0,231727160948.0,222434140663.0,123000488817.0,95000000000.0
4,"매출채권(주석6,34,35)",224969666711.0,254438148640.0,128875406666.0,151982440333.0,172037645412.0,148499863730.0,143255519492.0,156162240944.0,158255742786.0,193018227815.0,207061364785.0,142117907240.0,105940721124.0,158456941728.0,87157959086.0,106663248081.0,104596269476.0,88963242761.0,90062985067.0,94538405506.0,91785428906.0,89755149748.0,63849779574.0,88294069690.0,102951700064.0,81390284372.0,64139721250.0,65475423950.0,73647087003.0,76702371461.0,72661317230.0,70397607147.0,75955438071.0,83527130662.0,50986861322.0,52968382003.0,49527585856.0,50248909904.0,32702516326.0,26851961568.0,16901673066.0
5,"기타수취채권(주석5,7,33,34,35)",13743012300.0,16118401506.0,18503144614.0,17965214787.0,21036158232.0,30451584591.0,23241751181.0,19673607089.0,13144997025.0,10435559248.0,10122041646.0,9718905410.0,9788675498.0,8119757714.0,8435843056.0,14013136024.0,8728042503.0,9750864527.0,10298507770.0,7782727669.0,10085068707.0,8277292187.0,12662124150.0,16183330597.0,17665129579.0,8499598883.0,13667960461.0,10033621466.0,9187827766.0,10732458614.0,9187976526.0,10062273383.0,10556495632.0,,,,,,,,
6,"단기대여금(주석8,34,35)",142292758.0,143138198.0,3537775944.0,3448204708.0,3890944401.0,3882159156.0,4797343227.0,5216009140.0,3170449527.0,3362108312.0,3479309894.0,598221701.0,677494956.0,388827346.0,465611383.0,438403928.0,547079702.0,467401049.0,363810373.0,319190020.0,380715588.0,498605947.0,593567314.0,762700030.0,972006576.0,1187400737.0,1172120151.0,1532127338.0,1708211950.0,2039279049.0,2097287754.0,2570551452.0,2706876071.0,25461987421.0,8055705298.0,2587738776.0,2311197543.0,838421119.0,681588879.0,1839377645.0,6520287258.0
7,"단기투자자산(주석9,34,35)",923491889836.0,791801569831.0,1233268414350.0,1099349626416.0,1028587150946.0,948113664544.0,,,,1260940800450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
