,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,854175823979.0,766943433301.0,747743445676.0,931532580238.0,935778730330.0,843718066082.0,806358008325.0,777050646049.0,871110201641.0,791471166861.0,784064699290.0,839177176722.0,760655646831.0,733134075994.0,747202419490.0,733086367959.0,777344038750.0,653318017710.0,602102006482.0,577700408039.0,624407098208.0,596810515755.0,629783808848.0,647577117223.0,699600755868.0,691414546521.0,630592774812.0,654516286170.0,669753632787.0,779164517926.0,572595639383.0,463376628989.0,371825692522.0,809059123418.0,724124899057.0,401853347290.0
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,146542668807.0,60540530995.0,68166133604.0,68340025179.0,108390425711.0,69353967482.0,70948911048.0,65004156626.0,183232757584.0,110298033482.0,102785333582.0,120616464843.0,127258498299.0,66306978853.0,97562157842.0,150520739934.0,211484740005.0,116307900077.0,116545649398.0,110563249881.0,183331132334.0,147363023267.0,155847055577.0,154443779191.0,227788249198.0,238665064539.0,148867897058.0,167842736453.0,219302583307.0,152411776291.0,98223335061.0,74592579381.0,77459105816.0,153926356806.0,114684276402.0,33051146300.0
2,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,291447948026.0,310190424300.0,296434736617.0,301701257817.0,296602932047.0,301799501321.0,289152175919.0,288997791240.0,297656867660.0,314571050598.0,293803830679.0,287430904209.0,294260119516.0,292776988529.0,257133283814.0,267566355831.0,272001187562.0,256015919789.0,227864287628.0,215274612305.0,200448086117.0,208800400593.0,219624395369.0,244881101748.0,230696745621.0,212606268280.0,240240388010.0,258780028228.0,234598653442.0,233010795961.0,205305806973.0,180510461309.0,179324087204.0,337108349235.0,300143142892.0,165088258850.0
3,dart_CurrentFinanceLeaseReceivables,금융리스채권,Current finance lease receivables,재무상태표 [abstract],자산 [abstract],유동자산,금융리스채권,197872432933.0,180165616755.0,161289664201.0,146138922234.0,124791927241.0,106740631742.0,89413057846.0,77707357973.0,66371453252.0,60030919073.0,53444311509.0,45817912333.0,39067232395.0,33338985763.0,26819302395.0,20587595004.0,12522588253.0,8955735351.0,2655082284.0,,,,,,,,,,,,,,,,,
4,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,기타단기금융자산,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,기타단기금융자산,46389444461.0,60739871422.0,53317700088.0,51229135714.0,49791563583.0,14305186712.0,17198124617.0,15438115617.0,14961386793.0,16840899860.0,21080832161.0,67811045653.0,19704626825.0,62705776963.0,90929513686.0,21525741817.0,14407666016.0,15398218520.0,20684377471.0,20120086472.0,20701854142.0,22201169000.0,33324818201.0,34433343980.0,39437933934.0,43396429084.0,42555338120.0,32145692113.0,25604950063.0,32444580609.0,16382464576.0,19905536824.0,8133428159.0,,,
5,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,42028339319.0,42280868182.0,49832256146.0,250735753147.0,235751019905.0,240341971050.0,234773634250.0,227618589542.0,226663220645.0,213338468835.0,215668585955.0,226737921030.0,208426029176.0,206331822032.0,201239849950.0,196492442043.0,197490215950.0,185690969694.0,167696764008.0,166733622415.0,160504237196.0,156530582657.0,145969414669.0,139048322670.0,132310607796.0,130980632688.0,128800259121.0,124513700132.0,121300417617.0,126217162985.0,148979680810.0,98316823986.0,40130379120.0,,,
6,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,129728929653.0,112845477767.0,118516399182.0,113376715990.0,112211697182.0,102919052058.0,104850328604.0,102271174347.0,80674117773.0,74861005631.0,95698332940.0,89205085529.0,70499882454.0,70194665124.0,71907588976.0,74809441437.0,68090586518.0,69820809255.0,65543025966.0,64109751326.0,59413426119.0,61909650008.0,75014491962.0,74769341414.0,69366292529.0,65766151930.0,70128892503.0,71234129244.0,68947028358.0,71687168456.0,103704351963.0,90051227489.0,66778692223.0,150211079824.0,150585089384.0,60640784792.0
7,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,166060780.0,180643880.0,186555838.0,10770157.0,17067404.0,35658460.0,21776041.0,13460704.0,1550397934.0,1530789382.0,1583472464.0,1557843125.0,1439258166.0,1478858730.0,1610722827.0,1584051893.0,1347054446.0,1128465024.0,1112819727.0,899085640.0,8362300.0,5690230.0,3633070.0,1228220.0,926790.0,,,,,,,,,,,
