,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20140101,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표', '금')","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,13575882745000.0,12545988679000.0,12147076572000.0,12311919803000.0,12190502026000.0,12316692940000.0,17488729426000.0,18121893725000.0,18542984085000.0,17663719902000.0,17760300676000.0,19220602522000.0,19679633195000.0,25864818442000.0,25196330228000.0,26680452113000.0,27725324372000.0,27096467095000.0,28603366309000.0,28915975169000.0,30429049356000.0,29821547600000.0,29304682547000.0,29805142657000.0,29306166390000.0,29243516313000.0,29254183750000.0,28828708817000.0,28520086462000.0,28524139147000.0,25278627247000.0,26186675106000.0,24973924964000.0,24402598332000.0,23076370100000.0,25435594380000.0,24517261006000.0,23808970858000.0,22929058687000.0,17968882132000.0,17838758365000.0,20767869349000.0,14175304110000.0,10234363604000.0,8502007768000.0,8502007768000.0,7295392434000.0,6259200381000.0,4369223598000.0,3711810792000.0,4658505574000.0,3800879826000.0,5576534478000.0,5515152862000.0
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,4162496256000.0,2225143190000.0,3739909866000.0,3533580014000.0,3364281989000.0,3041786200000.0,2698647688000.0,3139448141000.0,4353286474000.0,3239726945000.0,3897628205000.0,3917707071000.0,3978369849000.0,4326493276000.0,4217112859000.0,4388700706000.0,4596055658000.0,3068122574000.0,3015781683000.0,2626826812000.0,2953772625000.0,3229187501000.0,1603920127000.0,1616003065000.0,1271189865000.0,1326986534000.0,1336613209000.0,1394884130000.0,1908662678000.0,2600503120000.0,1107690153000.0,1502057423000.0,2231177777000.0,2341775787000.0,1609979453000.0,2223728979000.0,2356894996000.0,2814907604000.0,1878801076000.0,1937411574000.0,1921277940000.0,1672784482000.0,1591004816000.0,1201921757000.0,759508387000.0,759508387000.0,554626487000.0,680203040000.0,108108657000.0,89829555000.0,103863562000.0,51473494000.0,505904515000.0,1029799079000.0
2,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융자산,476215586000.0,1481874655000.0,563892710000.0,1289552303000.0,1204744112000.0,1283010159000.0,939356266000.0,957822940000.0,591488938000.0,401318869000.0,3885184224000.0,4045363399000.0,4405808957000.0,4543132422000.0,4578024778000.0,4560104502000.0,4572501554000.0,4627226992000.0,4414122351000.0,4685792610000.0,4823400046000.0,4742522625000.0,3790684000000.0,3943701732000.0,3648695800000.0,4692328819000.0,4692328819000.0,4077013936000.0,3186327516000.0,3185247088000.0,2512370330000.0,2769424990000.0,2147493463000.0,1386519410000.0,2188261278000.0,2624573266000.0,2469256109000.0,1937843587000.0,2479840233000.0,1478755245000.0,,,,,,,,,,,,,,
3,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,1369081418000.0,1442648621000.0,1622624158000.0,1419457848000.0,1256191328000.0,1477334313000.0,1762034535000.0,1856548744000.0,1702592089000.0,1942374070000.0,3383842926000.0,3848114765000.0,3602751180000.0,5195833888000.0,5339934776000.0,5570627238000.0,6306282910000.0,5324603233000.0,6417636419000.0,6836876440000.0,7225381430000.0,5721168017000.0,6992834688000.0,7860323400000.0,7722433087000.0,7052837968000.0,7053564787000.0,7782756950000.0,8570040201000.0,8258952265000.0,6798105217000.0,7450629262000.0,7406149363000.0,6763509572000.0,5748433314000.0,6517809881000.0,6231396830000.0,5826960865000.0,5912101674000.0,3399925066000.0,,,,,,,,,,,,,,
4,entity00164830_udf_BS_2020227103037840_CurrentAssets,계약자산,contract assets,재무상태표 [abstract],자산 [abstract],유동자산,계약자산,4937905625000.0,4729632864000.0,3437303666000.0,3466498554000.0,3341039926000.0,3677786966000.0,3157574330000.0,2976544304000.0,2735796479000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,dart_ShortTermDueFromCustomersForContractWork,미청구공사,Short-term due from customers for contract work,재무상태표 [abstract],자산 [abstract],유동자산,미청구공사,,,,,,,,,,3357947345000.0,3305105972000.0,3915459112000.0,3999851527000.0,5275519774000.0,4592690286000.0,5146194406000.0,5292906962000.0,6599947481000.0,6748096663000.0,7281615593000.0,7462700914000.0,7154045476000.0,6770961643000.0,6644747620000.0,7085972971000.0,6675111932000.0,6675111932000.0,5946580715000.0,5840840434000.0,5173273947000.0,4967727757000.0,4098492008000.0,3635338886000.0,3975523455000.0,4181091074000.0,4407760799000.0,3965909672000.0,4734234979000.0,4666233665000.0,4360570648000.0,,,,,,,,,,,,,,
6,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,1338652717000.0,1318325637000.0,1239388216000.0,1105729603000.0,981471478000.0,1009063255000.0,971713956000.0,814651620000.0,790845196000.0,845360005000.0,1109110246000.0,1242134964000.0,1279707893000.0,3879525758000.0,3742323609000.0,3975482564000.0,3948333085000.0,4466387289000.0,5064248305000.0,5027211234000.0,5205249565000.0,5785367300000.0,6369730439000.0,5679489049000.0,6038318016000.0,6129287249000.0,6129287249000.0,6265273601000.0,6280103325000.0,6183507805000.0,6191140271000.0,7053525373000.0,6611438938000.0,6986393014000.0,6478092980000.0,6418243341000.0,6211225856000.0,5155037509000.0,5039417149000.0,2963449338000.0,2623367584000.0,3533418832000.0,1690330093000.0,1592432649000.0,1539036642000.0,1539036642000.0,1510414959000.0,1205485298000.0,777850622000.0,644105156000.0,821056485000.0,640193297000.0,992850302000.0,-910372052000.0
7,dart_CurrentDerivativeAsset,파생상품자산,Current derivative asset,재무상태표 [abstract],자산 [abstract],유동자산,파생상품자산,38052219000.0,55839041000.0,8535525000.0,14857033000.0,2857671000.0,15772252000.0,21027804000.0,15644671000.0,90922439000.0,140891609000.0,20691587000.0,53046316000.0,135897791000.0,10548334000.0,169586640000.0,23481622000.0,67602001000.0,41755610000.0,26607592000.0,38605116000.0,105013073000.0,127428741000.0,460456545000.0,826965670000.0,403015537000.0,512917626000.0,512917626000.0,370454423000.0,52494870000.0,125855703000.0,444343127000.0,217544936000.0,108596688000.0,156835688000.0,146052887000.0,127507100000.0,520027282000.0,334377884000.0,245892231000.0,224586944000.0,214587967000.0,81012542000.0,195615525000.0,644643504000.0,292555109000.0,292555109000.0,359632662000.0,,,,,,,
