,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,14483130000000.0,13171993000000.0,13668184000000.0,13767776000000.0,13625563000000.0,13336768000000.0,13321218000000.0,13120808000000.0,13067589000000.0,13249840000000.0,13720420000000.0,13864805000000.0,14190713000000.0,14937924000000.0,14329577000000.0,14652436000000.0,14241493000000.0,14228424000000.0,14583044000000.0,14208921000000.0,13591705000000.0,13441148000000.0,13050476000000.0,12378520000000.0,11242928000000.0,11042820000000.0,10516887000000.0,10505936000000.0,9696295000000.0,9610665000000.0,9184866000000.0,8861134000000.0,8992059000000.0,8711302000000.0,8480563457953.0,8151364038091.0,8074219451404.0,7872208000000.0,6527596524552.0,5678188033082.0,5820977910893.0,4382679889056.0,3472424962352.0,3075885420652.0,2575612811053.0,2778905755449.0,3115836128783.0,3842493002650.0,4583497466547.0,5602438124991.0,-5597019785.0,-9453983342.0
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,3843704000000.0,2586007000000.0,2560752000000.0,3286579000000.0,2721476000000.0,2241188000000.0,2323877000000.0,2328051000000.0,2345621000000.0,2107242000000.0,1823653000000.0,2042683000000.0,2096316000000.0,2149984000000.0,2344562000000.0,2415803000000.0,2066754000000.0,1997405000000.0,2150565000000.0,2363598000000.0,2369140000000.0,2542381000000.0,2192621000000.0,1549148000000.0,1716561000000.0,1883560000000.0,1299857000000.0,1527294000000.0,1371657000000.0,1854859000000.0,1618625000000.0,1223939000000.0,1422079000000.0,1861917000000.0,1370243398582.0,1432111479133.0,1665159077185.0,1740630000000.0,1382804123244.0,1383852399376.0,909822298360.0,551303677823.0,487447350669.0,427576823640.0,349659637842.0,566711400745.0,543980390603.0,462448620618.0,178210867303.0,160932053012.0,,
2,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,1600884000000.0,1711216000000.0,1794357000000.0,1534024000000.0,1449969000000.0,1824955000000.0,1696474000000.0,1542682000000.0,1563209000000.0,1356651000000.0,1419375000000.0,1730701000000.0,1617384000000.0,1445235000000.0,1224875000000.0,1096464000000.0,991096000000.0,1032308000000.0,820775000000.0,459260000000.0,321371000000.0,284202000000.0,228875000000.0,189157000000.0,246962000000.0,266240000000.0,309571000000.0,424949000000.0,383318000000.0,106619000000.0,204668000000.0,193698000000.0,198932000000.0,86912000000.0,49825840688.0,48508927336.0,86170015160.0,92433000000.0,47771935723.0,50869428889.0,50281235627.0,37451580633.0,30463216919.0,21086083187.0,34567980862.0,72502838414.0,138480482947.0,268556536564.0,6655427483.0,1837855648.0,,
3,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,1791587000000.0,1984169000000.0,2256176000000.0,1960591000000.0,2376201000000.0,2176726000000.0,1684078000000.0,1680579000000.0,1659039000000.0,1966367000000.0,2398157000000.0,2358582000000.0,2513304000000.0,2555190000000.0,2554370000000.0,2483212000000.0,2431414000000.0,2494795000000.0,1907982000000.0,1946313000000.0,1874006000000.0,1792310000000.0,1892651000000.0,2131305000000.0,1414994000000.0,1313236000000.0,1306416000000.0,1260878000000.0,1276563000000.0,1410161000000.0,1139789000000.0,1461501000000.0,1341116000000.0,986992000000.0,762708828643.0,725821580957.0,,870524000000.0,986920923580.0,77367324800.0,35321628596.0,62518671002.0,35300665928.0,55737340814.0,137204578713.0,76397003577.0,72471645730.0,101342732365.0,83926316679.0,163473270375.0,159944248.0,617219141.0
4,ifrs-full_TradeAndOtherCurrentReceivables,기타채권,Other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타채권,1847267000000.0,1755324000000.0,1581289000000.0,1557464000000.0,1302422000000.0,1322349000000.0,1422774000000.0,1400903000000.0,1227561000000.0,1499381000000.0,1551635000000.0,1521152000000.0,1547713000000.0,1795329000000.0,1368846000000.0,1362808000000.0,1424631000000.0,1466410000000.0,1339157000000.0,1248906000000.0,1251877000000.0,1352875000000.0,1292513000000.0,1321386000000.0,1259461000000.0,1254828000000.0,1275424000000.0,1246014000000.0,1170088000000.0,1131801000000.0,907042000000.0,958704000000.0,1020434000000.0,1064631000000.0,951322415894.0,893706110208.0,,975168000000.0,764929675169.0,,,,,,,,,,,,,
5,dart_ShortTermDueFromCustomersForContractWork,미청구공사,Customers for contract work,재무상태표 [abstract],자산 [abstract],유동자산,미청구공사,2456588000000.0,2282472000000.0,2541111000000.0,2592901000000.0,2731232000000.0,2679723000000.0,2950158000000.0,2790210000000.0,2804127000000.0,2896446000000.0,3165013000000.0,3256230000000.0,3308717000000.0,3595809000000.0,3608883000000.0,4040711000000.0,4235416000000.0,4163270000000.0,5409197000000.0,5561444000000.0,5135535000000.0,4889864000000.0,4757765000000.0,4488118000000.0,4206924000000.0,4042256000000.0,4029994000000.0,3668507000000.0,3179513000000.0,2830547000000.0,2859361000000.0,2557341000000.0,2506375000000.0,2420615000000.0,3138284523122.0,2827193463853.0,2364853293801.0,1988598000000.0,1242357014516.0,,,,,,,,,,,,,
6,entity00164478_udf_BS_20203241715217_CurrentAssets,만기보유금융자산,Held-to-maturity investments,재무상태표 [abstract],자산 [abstract],유동자산,만기보유금융자산,,,,,,,,,,16668000000.0,82781000000.0,82563000000.0,164101000000.0,267135000000.0,16944000000.0,17033000000.0,16302000000.0,64739000000.0,20448000000.0,21248000000.0,18789000000.0,22550000000.0,22130000000.0,20938000000.0,20997000000.0,22661000000.0,19646000000.0,24460000000.0,25223000000.0,23503000000.0,24645000000.0,18997000000.0,16983000000.0,19032000000.0,21601470000.0,21457220000.0,22271775000.0,18836000000.0,13031930000.0,,,,,,,,,,,,,
7,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,상각후원가 측정 금융자산,Current financial assets at amortised cost,재무상태표 [abstract],자산 [abstract],유동자산,상각후원가 측정 금융자산,2637000000.0,3280000000.0,4086000000.0,14715000000.0,10313000000.0,14692000000.0,15167000000.0,14013000000.0,22050000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
