,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,5927525627435.0,5054300918433.0,5074883705886.0,4642234458860.0,4636816809100.0,4458086692786.0,4351166924808.0,4265348676639.0,4148074277670.0,3871966204696.0,4281768655105.0,4204951155940.0,4118910963601.0,3935838227411.0,3771159134371.0,3963742742816.0,4101332683810.0,3717567607709.0,3891069551538.0,3655347713950.0,3574005732026.0,3334816081456.0,3347996226455.0,3310428067633.0,3450599087346.0,2926336095688.0,3155750834170.0,3299799689284.0,3292619811461.0,2725871392036.0,2529496365615.0,1777670014308.0,1287469123107.0,1122708824028.0,790188004471.0,645885418429.0,568366594430.0,558803699509.0,259884702060.0
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,1007909995518.0,689790082613.0,904086254795.0,689037847914.0,648657396072.0,641350378128.0,710059910630.0,508525890579.0,603357102657.0,529287226523.0,691612316703.0,567991009755.0,476474585714.0,595192728662.0,618631288294.0,673319537206.0,614041834139.0,676141077255.0,786346666625.0,750612825293.0,754935423984.0,753916817929.0,742683096687.0,766369826375.0,898505671566.0,729316998474.0,720031565654.0,785373597516.0,829406394337.0,731890095000.0,636119501182.0,459977436415.0,335224883944.0,324137709439.0,223737316439.0,143930025122.0,115137486164.0,194509157673.0,84413797613.0
2,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,1263264326472.0,868511843634.0,559225845578.0,535860744149.0,729316264091.0,678702814434.0,420108530543.0,534260981534.0,563257573704.0,482849533809.0,499517238391.0,589784696671.0,786322563083.0,503987219524.0,506798397217.0,467486138944.0,698378496688.0,416667425840.0,289956419085.0,150974585244.0,4385389917.0,53719100557.0,8187142895.0,3737253969.0,5841232141.0,6565681560.0,11264727234.0,12833235346.0,18939825298.0,9528720577.0,1391554650.0,143968418.0,,,,,,,
3,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,2446091309218.0,2200574896595.0,2274024855117.0,2162690835026.0,2119833449884.0,1992607563362.0,2057719541239.0,2138124740130.0,1896037861114.0,1988538567001.0,2120306606844.0,2071999562600.0,1942545606229.0,1979948831571.0,1763033683200.0,1956858238487.0,1837164848054.0,1672256599899.0,1891133746158.0,1810151716178.0,1659367802197.0,1749055591777.0,1713668145378.0,1780823930038.0,1791177364921.0,1546524231029.0,1678305840953.0,1790227997807.0,1755060897535.0,1387395602808.0,1361698917138.0,1036895315910.0,699012857756.0,538666295208.0,477479971216.0,340694196345.0,262163349015.0,214904963988.0,164053118290.0
4,dart_ShortTermOtherReceivables,기타수취채권,Short-term other Receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,142355900333.0,129517800885.0,124107600160.0,120187314105.0,105816859927.0,87079717764.0,84839744983.0,89183293062.0,113335797411.0,96796354167.0,73057896969.0,47323985172.0,57917604040.0,44971609283.0,15437120038.0,17413263733.0,32168042274.0,26224558117.0,21145744380.0,34662917575.0,253529813858.0,29298757477.0,109507615183.0,50945601081.0,45574046384.0,34925980192.0,44699873341.0,53638802054.0,65591221591.0,47777657809.0,36156952461.0,33252543160.0,9869657502.0,,,,,,
5,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,930779022679.0,1033140640024.0,1055793223003.0,982909735838.0,874132550957.0,911946972134.0,948972781857.0,844728655009.0,824111783975.0,660684205327.0,741108671168.0,787739410887.0,719501765552.0,690264100831.0,726028634332.0,703263844360.0,738268993854.0,771931460715.0,731012157487.0,778631849968.0,763019586731.0,645592972478.0,675391169735.0,619815647784.0,605216194870.0,522141244744.0,572835201700.0,547703715330.0,533268777197.0,474145641387.0,407381783928.0,224113886341.0,221791019122.0,221696740015.0,61673651099.0,119044447737.0,100681744979.0,67890876102.0,2689530933.0
6,entity00360595_udf_BS_2018320175149746_CurrentAssets,충당자산,"Recourse rights, net",재무상태표 [abstract],자산 [abstract],유동자산,충당자산,36271590155.0,35046801681.0,35778473267.0,34760975700.0,34001555614.0,32926522279.0,31798394787.0,31126174220.0,30428605519.0,29191368150.0,28796051967.0,28007574769.0,27231789365.0,26485754060.0,27599394561.0,26754802705.0,25948051196.0,24997396482.0,24262918915.0,23385998807.0,21218039244.0,20405519069.0,19625362394.0,18765821658.0,18062861551.0,15083490928.0,13683252772.0,13535232547.0,13941607930.0,13307926186.0,15983825500.0,4772609659.0,2420506117.0,10775379573.0,8311557583.0,5730411367.0,2619650790.0,1146723778.0,
7,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,100853483060.0,97718853001.0,121867453966.0,116787006128.0,125058732555.0,113472724685.0,97668020769.0,119398942105.0,117545553290.0,84618949719.0,127369873063.0,112104916086.0,108917049618.0,94987983480.0,113630616729.0,118646917381.0,155362417605.0,129349089401.0,147211898888.0,106927820885.0,117549676095.0,82827322169.0,78933694183.0,69969986728.0,86221715913.0,71778468761.0,114930372516.0,96487108684.0,76411087573.0,61825748269.0,70763830756.0,18514254405.0,19150198666.0,,,,,,
8,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,4987233221206.0,5075434891602.0,5027114047712.0,4851692195457.0,4754734955796.0,4229755942397.0,4250930091189.0,4252606250923.0,4278666730184.0,4313697507178.0,4124740905993.0,4084413701974.0,3960474680733.0,4031639122109.0,3967874281448.0,3975474192898.0,3908833406361.0,3760946730967.0,3561039559623.0,3344264523076.0,3109378747616.0,2861397641711.0,2723428352865.0,2623427222151.0,2196541174991.0,2142882989491.0,2061252937820.0,1747183236665.0,1648288514093.0,1531931504530.0,1297083236839.0,1028394977806.0,812257516907.0,784185187580.0,531606886811.0,377044001444.0,257621102446.0,176904827911.0,123214128256.0
9,dart_LongTermOtherReceivablesGross,기타비유동수취채권,"Long-term other Receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동수취채권,17682099462.0,16623954107.0,19492451568.0,19286951727.0,18704226772.0,20672339677.0,20200963086.0,19538976971.0,18563089549.0,18450369146.0,18548005592.0,15917170908.0,15929623438.0,14887563368.0,16755638944.0,16540273108.0,12578981503.0,11569718331.0,10437284682.0,7265011694.0,6875893761.0,10174630695.0,10282180690.0,10708457246.0,10870348351.0,11045369233.0,8518961181.0,6350794475.0,6436644628.0,6265269739.0,5268287091.0,5279591206.0,4344910333.0,,,,,,
