,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080929-20081231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,Ⅰ.영업활동으로부터의현금흐름,-586820000000.0,9400706000000.0,9606444000000.0,9330156000000.0,6061188000000.0,-8957618000000.0,-9863725000000.0,-8861170000000.0,-6416740000000.0,-4836025000000.0,-6746145000000.0,-5008245000000.0,-1182102000000.0,1124987000000.0,2135741000000.0,2456186000000.0,-371079000000.0,2193631000000.0,1246070000000.0,107187000000.0,-2324460000000.0,3276746000000.0,1849542000000.0,3633726000000.0,1302300000000.0,-6345527000000.0,-1368356000000.0,-5342348000000.0,-1250331000000.0,7644558000000.0,2347066000000.0,3481587000000.0,2670453000000.0,-4007190000000.0,-4733563000000.0,-3321219000000.0,-2630771000000.0,14660278000000.0,9478463000000.0,3882411000000.0,3247631000000.0,,
1,1.당기순이익,738937000000.0,3313199000000.0,2778082000000.0,1837397000000.0,845930000000.0,3061946000000.0,2869159000000.0,1915186000000.0,968389000000.0,3343461000000.0,2789740000000.0,1892338000000.0,887589000000.0,2190180000000.0,1727034000000.0,1149617000000.0,,1727306000000.0,,,,1415111000000.0,,,,1274698000000.0,,,,1740133000000.0,,,,2428572000000.0,,,,219909000000.0,,,,527494000000.0,609828000000.0
2,2.손익조정사항,1292149000000.0,3405812000000.0,2534928000000.0,1835025000000.0,864077000000.0,3297857000000.0,2384275000000.0,1698301000000.0,724249000000.0,3237931000000.0,2551587000000.0,1634162000000.0,619214000000.0,1361248000000.0,1278355000000.0,710075000000.0,359679000000.0,2533270000000.0,1961411000000.0,898787000000.0,559864000000.0,2803593000000.0,1844643000000.0,1104232000000.0,592083000000.0,3166181000000.0,2325746000000.0,1713367000000.0,826476000000.0,3482339000000.0,2579534000000.0,1567956000000.0,723080000000.0,2455333000000.0,1296690000000.0,777154000000.0,496217000000.0,4610248000000.0,3506365000000.0,2013083000000.0,672772000000.0,,
3,(1)당기손익-공정가치측정금융상품순손익,185831000000.0,-438567000000.0,-192183000000.0,-104778000000.0,-105585000000.0,-104755000000.0,-232873000000.0,24769000000.0,-39125000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,(2)위험회피목적파생금융상품순손익,76174000000.0,-3835000000.0,43201000000.0,-10785000000.0,-15683000000.0,186029000000.0,201077000000.0,183865000000.0,42424000000.0,-135363000000.0,101385000000.0,66465000000.0,-24443000000.0,69573000000.0,-54356000000.0,-58114000000.0,-31566000000.0,47466000000.0,20198000000.0,16720000000.0,-6810000000.0,27088000000.0,28837000000.0,32521000000.0,-10630000000.0,48787000000.0,14278000000.0,-57902000000.0,-45170000000.0,15165000000.0,-12548000000.0,-12656000000.0,11981000000.0,-107371000000.0,-114678000000.0,2082000000.0,14712000000.0,-102692000000.0,-228466000000.0,-194038000000.0,-71632000000.0,,
5,(3)파생금융상품공정가치평가충당금환입액,62000000.0,282000000.0,679000000.0,,684000000.0,410000000.0,962000000.0,,2819000000.0,-1000000000.0,-683000000.0,-989000000.0,-377000000.0,,-1156000000.0,-1419000000.0,119000000.0,,1087000000.0,1775000000.0,999000000.0,,-1886000000.0,-1385000000.0,-1267000000.0,699000000.0,2109000000.0,655000000.0,-187000000.0,,-62402000000.0,-46775000000.0,-39282000000.0,,5514000000.0,-42794000000.0,,,,,,,
6,(4)신용손실충당금전입액,243673000000.0,670185000000.0,459888000000.0,293745000000.0,191713000000.0,673694000000.0,427761000000.0,281329000000.0,164537000000.0,548244000000.0,479888000000.0,307698000000.0,254894000000.0,539283000000.0,507727000000.0,313500000000.0,118968000000.0,1037231000000.0,624397000000.0,458613000000.0,193766000000.0,1227976000000.0,937025000000.0,613219000000.0,280776000000.0,1443572000000.0,1131933000000.0,677572000000.0,326097000000.0,1606703000000.0,1128727000000.0,753201000000.0,389093000000.0,1512978000000.0,1006225000000.0,718063000000.0,414499000000.0,2871417000000.0,2259544000000.0,1615447000000.0,482364000000.0,,
7,(5)투자금융자산순손익,-133321000000.0,-206192000000.0,-190502000000.0,-96935000000.0,-48444000000.0,-99253000000.0,-80005000000.0,-26554000000.0,-3806000000.0,110156000000.0,60722000000.0,81470000000.0,12026000000.0,-139800000000.0,-206587000000.0,-133357000000.0,-56874000000.0,-166911000000.0,-87020000000.0,-134126000000.0,20903000000.0,109461000000.0,9219000000.0,27356000000.0,5962000000.0,-1191000000.0,13566000000.0,89852000000.0,60290000000.0,148211000000.0,81016000000.0,-45171000000.0,-27509000000.0,-481459000000.0,-390947000000.0,-371404000000.0,-63104000000.0,-112551000000.0,-78735000000.0,-59144000000.0,-49020000000.0,,
8,(6)관계기업및공동기업투자손익,3037000000.0,-16451000000.0,-5923000000.0,-4782000000.0,-4204000000.0,-24260000000.0,-18158000000.0,-12722000000.0,-8270000000.0,-84274000000.0,-78119000000.0,-59115000000.0,-52450000000.0,-280838000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
