,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,Ⅰ.영업활동으로인한순현금흐름,1231947000000.0,-11350651000000.0,-8489561000000.0,-5839292000000.0,-6297573000000.0,-10396886000000.0,-9341678000000.0,-6544699000000.0,-1652515000000.0,3198475000000.0,-546883000000.0,-750518000000.0,-67256000000.0,-4098109000000.0,-6393918000000.0,-5949696000000.0,-5446432000000.0,-6006965000000.0,-7034316000000.0,-3790315000000.0,-3546192000000.0,-3370523000000.0,-2900798000000.0,-2848988000000.0,-3859341000000.0,-6755969000000.0,-5192380000000.0,-2047465000000.0,-772876000000.0,7468434000000.0,5574719000000.0,2939500000000.0,1232684000000.0,-1892863000000.0,-3590705000000.0,2173472000000.0,-460851000000.0,-1721220000000.0,-2697776000000.0,-523190000000.0,1878980000000.0,,,,,,,,,167374000000.0,,
1,1.영업에서창출된현금흐름,72535000000.0,-16535003000000.0,-12346124000000.0,-8313585000000.0,-7558176000000.0,-15645449000000.0,-13099628000000.0,-8906767000000.0,-2932832000000.0,-1578270000000.0,-4083799000000.0,-3029990000000.0,-1287781000000.0,-8621512000000.0,-9763267000000.0,-8105567000000.0,-6560233000000.0,-10131199000000.0,-10080154000000.0,-5756226000000.0,-4552386000000.0,-7777721000000.0,-6284233000000.0,-5015689000000.0,-4913438000000.0,-10740433000000.0,-8016370000000.0,-3969790000000.0,-1685475000000.0,3480524000000.0,2500562000000.0,987168000000.0,224612000000.0,-6027617000000.0,-6783750000000.0,157078000000.0,-1313607000000.0,-5912814000000.0,-5847936000000.0,-2653011000000.0,943820000000.0,,,,,,,,,167374000000.0,,
2,가.연결당기순이익,,1614261000000.0,,,,1764278000000.0,,,,1508528000000.0,,,,1164601000000.0,,,,1150568000000.0,,,,1032005000000.0,,,,854209000000.0,,,,1181256000000.0,,,,1440110000000.0,,,,1362919000000.0,,,,,,,,778494000000.0,370435000000.0,223959000000.0,581431000000.0,492144000000.0,428941.0,78833000000.0
3,나.비용및수익의조정(주석44),-733747000000.0,-3352548000000.0,-2542507000000.0,-1789442000000.0,-951444000000.0,-3462045000000.0,-2677928000000.0,-1763607000000.0,-895176000000.0,-3477752000000.0,-2662855000000.0,-1726509000000.0,-760081000000.0,-3298856000000.0,-2378119000000.0,-1642505000000.0,-778565000000.0,-3168499000000.0,-2357789000000.0,-1479438000000.0,-632585000000.0,-2800744000000.0,-2118204000000.0,-1429198000000.0,-760311000000.0,-2831220000000.0,-2089097000000.0,-1546788000000.0,-795345000000.0,-2865427000000.0,-2169497000000.0,-1514315000000.0,-811709000000.0,-2794333000000.0,,-1535791000000.0,-740246000000.0,-2563225000000.0,,,,,,,,,,,,167374000000.0,,
4,다.영업활동으로인한자산부채의변동(주석44),305798000000.0,-14796716000000.0,-11171444000000.0,-7510033000000.0,-7163775000000.0,-13947682000000.0,-11881965000000.0,-8080378000000.0,-2550576000000.0,390954000000.0,-2671557000000.0,-2102970000000.0,-967054000000.0,-6487257000000.0,-8334614000000.0,-7130382000000.0,-6159391000000.0,-8113268000000.0,-8646908000000.0,-4953691000000.0,-4289853000000.0,-6008982000000.0,-5019332000000.0,-4206039000000.0,-4480014000000.0,-8763422000000.0,-6612760000000.0,-2891023000000.0,-1147607000000.0,5164695000000.0,3642756000000.0,1720847000000.0,565107000000.0,-4673394000000.0,-5818779000000.0,699778000000.0,-1085532000000.0,-4712508000000.0,-4995783000000.0,-2144587000000.0,1154727000000.0,-13393763000000.0,-17755223000000.0,-13760983000000.0,-17467321000000.0,,,,,167374000000.0,,
5,2.이자의수취,2236267000000.0,9291249000000.0,7003681000000.0,4543603000000.0,2183658000000.0,8811290000000.0,6425370000000.0,4172830000000.0,2096669000000.0,7826581000000.0,5814676000000.0,3865683000000.0,1952345000000.0,7572923000000.0,5726066000000.0,3779849000000.0,1893451000000.0,7891430000000.0,6002446000000.0,4051660000000.0,2049733000000.0,8546739000000.0,6438587000000.0,4277453000000.0,2115968000000.0,8636175000000.0,6361232000000.0,4273566000000.0,2133896000000.0,9306276000000.0,6962261000000.0,4741060000000.0,2335377000000.0,9034958000000.0,6816773000000.0,4446808000000.0,2198594000000.0,8625964000000.0,6454261000000.0,4288339000000.0,2120052000000.0,,,,,,,,,167374000000.0,,
6,3.이자의지급,-1059537000000.0,-3712643000000.0,-2835160000000.0,-1862866000000.0,-969339000000.0,-3301326000000.0,-2425678000000.0,-1639814000000.0,-836495000000.0,-2767146000000.0,-2058067000000.0,-1448751000000.0,-785164000000.0,-2932403000000.0,-2247294000000.0,-1608989000000.0,-861714000000.0,-3493588000000.0,-2696632000000.0,-1953422000000.0,-1040487000000.0,-4134877000000.0,-3032825000000.0,-2127909000000.0,-1107412000000.0,-4671525000000.0,-3545958000000.0,-2404177000000.0,-1267725000000.0,-4837201000000.0,-3482011000000.0,-2409989000000.0,-1312529000000.0,-4304727000000.0,-3111441000000.0,-2112600000000.0,-1185179000000.0,-4193542000000.0,-3051376000000.0,-2036222000000.0,-1086826000000.0,,,,,,,,,167374000000.0,,
7,4.배당금수입,76492000000.0,181856000000.0,153915000000.0,118666000000.0,85665000000.0,226872000000.0,156427000000.0,113125000000.0,78849000000.0,142092000000.0,110387000000.0,90623000000.0,70332000000.0,118719000000.0,100559000000.0,80784000000.0,61628000000.0,114474000000.0,94382000000.0,77166000000.0,42709000000.0,109865000000.0,90582000000.0,75507000000.0,52244000000.0,86101000000.0,75003000000.0,60503000000.0,47209000000.0,77274000000.0,67979000000.0,59955000000.0,48581000000.0,78469000000.0,77763000000.0,64491000000.0,44554000000.0,75345000000.0,57262000000.0,50775000000.0,44170000000.0,,,,,,,,,167374000000.0,,
8,5.법인세납부,-93810000000.0,-576110000000.0,-465871000000.0,-325110000000.0,-39381000000.0,-488273000000.0,-398169000000.0,-284073000000.0,-58706000000.0,-424782000000.0,-330080000000.0,-228083000000.0,-16988000000.0,-235836000000.0,-209982000000.0,-95773000000.0,,-388082000000.0,-354358000000.0,-209493000000.0,,-114529000000.0,-112909000000.0,-58350000000.0,-6703000000.0,-66287000000.0,-66287000000.0,-7567000000.0,-781000000.0,-558439000000.0,-474072000000.0,-438694000000.0,-63357000000.0,-673946000000.0,,-382305000000.0,-205213000000.0,,,,,,,,,,,,,167374000000.0,,
9,Ⅱ.투자활동으로인한순현금흐름,-289578000000.0,-5348187000000.0,-4652211000000.0,-3577369000000.0,-1753676000000.0,-4054356000000.0,-3520369000000.0,-2883191000000.0,-729445000000.0,-7772593000000.0,-6079243000000.0,-3191507000000.0,-328206000000.0,-1219143000000.0,445619000000.0,485618000000.0,-143428000000.0,-1013437000000.0,-193264000000.0,-29395000000.0,339492000000.0,1209704000000.0,1508489000000.0,744861000000.0,795308000000.0,-1266658000000.0,-1323306000000.0,-1352974000000.0,-1004069000000.0,-6014747000000.0,-5358565000000.0,-4698271000000.0,-922336000000.0,-1492740000000.0,-970180000000.0,-986653000000.0,-688018000000.0,-330371000000.0,1088391000000.0,21488000000.0,87540000000.0,,,,,,,,,167374000000.0,,
10,1.당기손익금융자산증가,-7931553000000.0,-23843281000000.0,-17941591000000.0,-12271489000000.0,-5785852000000.0,-18468369000000.0,-13398444000000.0,-8608364000000.0,-4040160000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
11,2.당기손익금융자산감소,7965407000000.0,23678442000000.0,17580838000000.0,12048672000000.0,5712493000000.0,18065709000000.0,13097350000000.0,8399227000000.0,3939469000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
12,3.기타포괄손익금융자산증가,-5108740000000.0,-15445527000000.0,-11214966000000.0,-8038152000000.0,-3754670000000.0,-10486867000000.0,-6388452000000.0,-3815245000000.0,-1157819000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167374000000.0,,
