,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140401-20141231,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130401-20131231,20130401-20130630,20120401-20130331,20120401-20120930,20120401-20120630,20110401-20120331,20110401-20111231,20110401-20110930,20110401-20110630,20100401-20110331,20100401-20101231,20100401-20100930,20100401-20100630,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20000401-20010331,19990401-20000331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,Ⅰ.영업활동으로부터의현금흐름,-1603096000000.0,8644450000000.0,5828701000000.0,5216620000000.0,2149329000000.0,1956123000000.0,181079000000.0,-1183720000000.0,-2652992000000.0,1608186000000.0,-1475537000000.0,-1108592000000.0,-1522997000000.0,4834400000000.0,1951890000000.0,2083913000000.0,1364328000000.0,5288088000000.0,2831427000000.0,1138070000000.0,-925726000000.0,8946403000000.0,8946403000000.0,3521765000000.0,1011564000000.0,-1143166000000.0,9953987000000.0,2769558000000.0,12171469000000.0,5557508000000.0,2268216000000.0,9706746000000.0,8121525000000.0,5873760000000.0,3998517000000.0,7808708000000.0,6349726000000.0,4266852000000.0,3137342000000.0,,,,,,,,,,,
1,1.영업활동에서창출된현금흐름,-3586077000000.0,1954925000000.0,823596000000.0,1915840000000.0,613482000000.0,-5225451000000.0,-5153009000000.0,-5300383000000.0,-4340287000000.0,-5063975000000.0,-6557910000000.0,-4635735000000.0,-3212548000000.0,-1452282000000.0,-2798375000000.0,-1232158000000.0,-503902000000.0,-719502000000.0,-1606346000000.0,-1809138000000.0,-2164537000000.0,3535411000000.0,3535411000000.0,-419822000000.0,-1645109000000.0,-2518750000000.0,6029167000000.0,1371027000000.0,6901416000000.0,2979890000000.0,820897000000.0,4754135000000.0,4037775000000.0,3610766000000.0,2915335000000.0,2918056000000.0,2213170000000.0,1482132000000.0,2065026000000.0,,,,,,,,,,,
2,가.당기순이익,256594000000.0,1051692000000.0,1033308000000.0,794033000000.0,469584000000.0,1733710000000.0,1788388000000.0,1489744000000.0,415840000000.0,1263207000000.0,,,,2149956000000.0,,1620892000000.0,1268273000000.0,1209573000000.0,1177570000000.0,906417000000.0,463641000000.0,1337030000000.0,1337030000000.0,,,,584428000000.0,,1006167000000.0,,,947370000000.0,,,,1567368000000.0,,,,905721000000.0,113990000000.0,719003000000.0,518356000000.0,624360000000.0,575614000000.0,327801000000.0,861110000000.0,630789000000.0,246588422000.0,
3,나.손익조정사항(주석37),301388000000.0,740025000000.0,216233000000.0,-54021000000.0,-188343000000.0,595344000000.0,111135000000.0,-217939000000.0,100540000000.0,3447084000000.0,2739896000000.0,1858253000000.0,850477000000.0,4123921000000.0,2674587000000.0,1664447000000.0,323139000000.0,5971002000000.0,4391064000000.0,2834203000000.0,1428064000000.0,5630564000000.0,5630564000000.0,3871127000000.0,2440346000000.0,1187672000000.0,4441652000000.0,1467054000000.0,10944405000000.0,4109409000000.0,1265492000000.0,3828608000000.0,2991707000000.0,1943186000000.0,945167000000.0,3070089000000.0,2316676000000.0,1729552000000.0,965963000000.0,,,,,,,,,,,
4,다.자산ㆍ부채의증감(주석37),-4144059000000.0,163208000000.0,-425945000000.0,1175828000000.0,332241000000.0,-7554505000000.0,-7052532000000.0,-6572188000000.0,-4856667000000.0,-9774266000000.0,-10641650000000.0,-7494833000000.0,-4657797000000.0,-7726159000000.0,-7608202000000.0,-4517497000000.0,-2095314000000.0,-7900077000000.0,-7174980000000.0,-5549758000000.0,-4056242000000.0,-3432183000000.0,-3432183000000.0,-5489646000000.0,-4989015000000.0,-4116245000000.0,1003087000000.0,-347889000000.0,-5049156000000.0,-1630963000000.0,-687314000000.0,-21843000000.0,581607000000.0,1348735000000.0,1701779000000.0,-1719401000000.0,-1445219000000.0,-1244568000000.0,531292000000.0,,,,,,,,,,,
5,2.이자의수취,1789325000000.0,7031226000000.0,5235869000000.0,3498478000000.0,1701515000000.0,7051418000000.0,5173957000000.0,3485071000000.0,1662840000000.0,6678669000000.0,4950278000000.0,3298775000000.0,1500290000000.0,6666585000000.0,4962562000000.0,3332792000000.0,1643894000000.0,5832101000000.0,4282482000000.0,2821211000000.0,1288364000000.0,5432941000000.0,5432941000000.0,4004660000000.0,2608208000000.0,1234686000000.0,3998746000000.0,1216397000000.0,5338747000000.0,2603928000000.0,1264247000000.0,5247557000000.0,3797336000000.0,2545143000000.0,1176421000000.0,5054188000000.0,3791400000000.0,2605607000000.0,1198685000000.0,,,,,,,,,,,
6,3.이자의지급,-105187000000.0,-460634000000.0,-322432000000.0,-211341000000.0,-108415000000.0,-421230000000.0,-308235000000.0,-200122000000.0,-100001000000.0,-346715000000.0,-257424000000.0,-166458000000.0,-81739000000.0,-333251000000.0,-266084000000.0,-196623000000.0,-85755000000.0,-100376000000.0,-78755000000.0,-77450000000.0,-92731000000.0,-88360000000.0,-88360000000.0,-29608000000.0,-19640000000.0,-19552000000.0,-26474000000.0,-7677000000.0,-21455000000.0,-8257000000.0,-4996000000.0,-19618000000.0,-14395000000.0,-7959000000.0,-3765000000.0,-13935000000.0,-10714000000.0,-6154000000.0,-2942000000.0,,,,,,,,,,,
7,4.배당금수입,48008000000.0,1043877000000.0,824896000000.0,603258000000.0,60686000000.0,1077663000000.0,822658000000.0,644563000000.0,376219000000.0,773515000000.0,663387000000.0,531185000000.0,433341000000.0,448334000000.0,402324000000.0,362919000000.0,331858000000.0,367057000000.0,347963000000.0,318319000000.0,293228000000.0,276769000000.0,276769000000.0,233239000000.0,211004000000.0,195608000000.0,79947000000.0,50281000000.0,226053000000.0,75819000000.0,52176000000.0,186378000000.0,75227000000.0,68340000000.0,46075000000.0,244958000000.0,110429000000.0,104413000000.0,36180000000.0,,,,,,,,,,,
8,5.법인세부담액,250835000000.0,-924944000000.0,-733228000000.0,-589615000000.0,-117939000000.0,-526277000000.0,-354292000000.0,187151000000.0,-251763000000.0,-433308000000.0,-273868000000.0,-136359000000.0,-162341000000.0,-494986000000.0,-348537000000.0,-183017000000.0,-21767000000.0,-91192000000.0,-113917000000.0,-114872000000.0,-250050000000.0,-210358000000.0,-210358000000.0,-266704000000.0,-142899000000.0,-35158000000.0,-127399000000.0,139530000000.0,-273292000000.0,-93872000000.0,135892000000.0,-461706000000.0,225582000000.0,-342530000000.0,-135549000000.0,-394559000000.0,245441000000.0,80854000000.0,-159607000000.0,,,,,,,,,,,
