,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,I.영업활동으로인한현금흐름,,392249235729.0,,,,352800469174.0,,,,595173210397.0,,,,112022508831.0,,,,241337233887.0,,,,263580917054.0,,,,236187663553.0,189840092821.0,149583944457.0,55560947202.0,210641886701.0,114395629724.0,57431703076.0,12177302032.0,138554553124.0,220502551539.0,286864924524.0,66009759634.0,80228705996.0,87062192406.0,81241488048.0,133132810292.0,18055861506.0,94359360499.0
1,1.영업에서창출된현금흐름,291453531061.0,488771424868.0,393698491549.0,230708168120.0,71413260407.0,598530170737.0,475713446779.0,355777928783.0,205076419791.0,640081566975.0,460992792475.0,79747860252.0,88776943281.0,231723144723.0,226073649137.0,132920637864.0,64049005650.0,296196615743.0,214241326580.0,132347797531.0,58186168667.0,315144928207.0,233524531013.0,143482112940.0,66994398880.0,242144995478.0,202099307746.0,154136651277.0,51033015494.0,230643032404.0,122864598268.0,57943423049.0,7808909277.0,177140885851.0,267342033711.0,,,,,,,,
2,연결당기순이익,,359154722508.0,,,,421467650710.0,,,,444043111896.0,,,,271381872090.0,,,,166350442469.0,,,,227519296162.0,,,,158695768295.0,,,,153666725549.0,,9731126709.0,,,,188294649847.0,27667593050.0,45943461925.0,39255658025.0,66677579135.0,74085712739.0,31666723120.0,53113016391.0
3,법인세비용,60171690323.0,136998851991.0,93387264099.0,53783098983.0,23528458929.0,215882267950.0,176959421130.0,129451955631.0,77204653659.0,166199699332.0,109861290811.0,19387511781.0,6677599136.0,74691206113.0,37330466125.0,21840598267.0,14781387935.0,73159319384.0,53215666828.0,32010508235.0,12821987535.0,61489783175.0,30173828998.0,19311688238.0,7897204469.0,57526635203.0,42128701408.0,37400371971.0,12941675570.0,29240348127.0,21669734670.0,14304583325.0,7301038474.0,39534784923.0,50795387182.0,,,,,,,,
4,이자비용,2189897514.0,8419063264.0,6255905671.0,4019079961.0,1993296457.0,3330175649.0,2466559605.0,1627224473.0,804336353.0,3257503570.0,2407882775.0,1593995556.0,793730665.0,2978607596.0,2166505466.0,1354522142.0,551656595.0,32179145.0,14164308.0,6777243.0,3438807.0,28593441.0,21609094.0,14612177.0,7476914.0,322687089.0,251645982.0,180132022.0,99954156.0,865713866.0,702515549.0,137173075.0,120229383.0,758197644.0,304064978.0,,,,,,,236780319.0,
5,외화환산손실,80941270.0,1796432472.0,157579683.0,321995661.0,438117411.0,758950953.0,677978243.0,195713114.0,918578576.0,7014793359.0,2093978458.0,2245621533.0,7242512393.0,1593760711.0,10217339859.0,2941264028.0,4876608887.0,1119237087.0,1370217509.0,974907192.0,253689873.0,910403451.0,1335436917.0,2897629756.0,359941846.0,694784936.0,739328963.0,103978011.0,26376673.0,841969792.0,1068937969.0,376121456.0,632412407.0,1124414682.0,739344939.0,676188055.0,658115750.0,49919474.0,126815234.0,110425669.0,71889644.0,6995805.0,37353647.0
6,대손상각비,1111158266.0,1946782552.0,2360153362.0,1623324437.0,-497887866.0,964851916.0,557582839.0,576916408.0,221368409.0,1496504052.0,192473916.0,73844406.0,110603072.0,4650426171.0,2844410034.0,2223976296.0,623472231.0,1021059109.0,293144010.0,206543998.0,412561705.0,2527365171.0,161317491.0,328350927.0,304086111.0,2478856221.0,275217276.0,160284328.0,148439106.0,3865964007.0,3065069058.0,2628489144.0,2331858840.0,244157176.0,1950287670.0,2116716813.0,1686124365.0,2438758054.0,3608956705.0,4224487648.0,3286063054.0,4155637286.0,1606097314.0
7,기타의대손상각비,,3300000000.0,,,,2650949083.0,2580000000.0,2180000000.0,,33431960.0,33431960.0,,,,,,,,,,,2324247337.0,1921002440.0,1938117200.0,500000000.0,1278085250.0,,,,896853350.0,798566999.0,300000000.0,,,234670751.0,,,2196445773.0,,,,254002989.0,465853226.0
8,감가상각비,14525137806.0,51231173366.0,37207794092.0,24295479679.0,11670051049.0,25500022690.0,18976762563.0,12528197941.0,6231038008.0,26861784780.0,20319454265.0,13222195462.0,6428600215.0,26500237520.0,19714957390.0,13414956628.0,6883739235.0,28473624130.0,20994320858.0,14084103381.0,7134927171.0,30246275244.0,22782712032.0,15337524564.0,7799779525.0,28935039302.0,21140768027.0,13750094488.0,6891854926.0,28742011957.0,27198860859.0,19252345376.0,6388171597.0,21457312973.0,17339495926.0,15852780144.0,13957042257.0,13500767811.0,17982684152.0,16591366850.0,12377608529.0,7994633571.0,7217393829.0
9,무형자산상각비,291204107.0,1243949001.0,928097020.0,608976903.0,302207582.0,2410349824.0,2107355910.0,928641767.0,539872287.0,3138863869.0,2544881887.0,1900168705.0,1219566299.0,5905031121.0,4816074083.0,3243245677.0,1688806744.0,6501614087.0,5212311586.0,3013477204.0,1611955238.0,6486626551.0,4896081840.0,3081111428.0,1453220893.0,6472799122.0,4800414451.0,3162346158.0,1645965375.0,9606407640.0,8293645705.0,4208900339.0,2623049943.0,4025057205.0,3813549023.0,6480822032.0,5600510095.0,6307627378.0,10502010663.0,6262765946.0,4417058291.0,5968581044.0,10909678581.0
