,Statement of cash flows(Unit: KRW),20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20050101-20041231,20040101-20041231,20030101-20031231,20020101-20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,I.영업활동으로인한현금흐름,527055000000.0,6680212000000.0,-2997949000000.0,-1239136000000.0,6339000000.0,-144037000000.0,-1165279000000.0,-705764000000.0,1707096000000.0,-1071121000000.0,-1229663000000.0,-3128564000000.0,235551000000.0,4994119000000.0,6397429000000.0,1237984000000.0,7314412000000.0,-3108359000000.0,-24344352000000.0,-23129375000000.0,-38578606000000.0,2653018000000.0,2579743000000.0,-1618783000000.0,4924879000000.0,1970628000000.0
1,1.당기순이익(손실),,,-713435000000.0,,,1847679000000.0,,,,2433280000000.0,,,,1600674000000.0,,,,,,2114360000000.0,2189207000000.0,,,,,
2,2.조정사항,-3181154000000.0,-1423377000000.0,-5743978000000.0,-2944594000000.0,-1472999000000.0,-6198823000000.0,-5133132000000.0,-3117600000000.0,-1709749000000.0,-6723307000000.0,-4848034000000.0,-3120377000000.0,-1608973000000.0,-6125804000000.0,-4463352000000.0,-3177834000000.0,,,,,,,,,,
3,법인세비용,-270358000000.0,133298000000.0,622656000000.0,211714000000.0,97001000000.0,508654000000.0,488954000000.0,317354000000.0,231864000000.0,744093000000.0,710342000000.0,564032000000.0,213214000000.0,498121000000.0,435159000000.0,230434000000.0,295214000000.0,,,,,,,,,
4,이자수익,-5682370000000.0,-3022294000000.0,-12837884000000.0,-6463833000000.0,-3249812000000.0,-14329038000000.0,-11397188000000.0,-7293342000000.0,-3858182000000.0,-15044846000000.0,-11144145000000.0,-7299679000000.0,-3557502000000.0,-14057227000000.0,-10535958000000.0,-7155523000000.0,-3645256000000.0,,,,,,,,,
5,이자비용,2886580000000.0,1538401000000.0,6622744000000.0,3390384000000.0,1728704000000.0,7784699000000.0,5909782000000.0,3968262000000.0,1987514000000.0,7780451000000.0,5746246000000.0,3760091000000.0,1824172000000.0,7634082000000.0,5800709000000.0,3851985000000.0,1920653000000.0,,,,,,,,,
6,배당수익,-115006000000.0,-72782000000.0,-151494000000.0,-82859000000.0,-48892000000.0,-163138000000.0,-134680000000.0,-109874000000.0,-70945000000.0,-203005000000.0,-160477000000.0,-144821000000.0,-88857000000.0,-200780000000.0,-163262000000.0,-104730000000.0,-49511000000.0,,,,,,,,,
7,3.현금의유출이없는비용의가산,1024624000000.0,462422000000.0,4494709000000.0,1626554000000.0,808468000000.0,3007079000000.0,2249535000000.0,1760308000000.0,671007000000.0,3064943000000.0,2321418000000.0,1546554000000.0,,,2680035000000.0,1711919000000.0,164915000000.0,,,,,,,,,
8,신용손실에대한손상차손,420364000000.0,116320000000.0,2706389000000.0,1123366000000.0,552609000000.0,2121697000000.0,1647412000000.0,1358656000000.0,433567000000.0,2268927000000.0,1685883000000.0,1234865000000.0,452560000000.0,2872943000000.0,2030787000000.0,1427680000000.0,55561000000.0,,,,,,,,,
