,"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 순현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동으로 인한 순현금흐름,,,181539427000.0,-1464118747000.0,-350558870000.0,33090831000.0,121665026000.0,126519621000.0,415074915000.0,84908030000.0,651103537000.0,593314273000.0,1685726512000.0,1060472883000.0,307166735000.0,2649202768000.0,2335162542000.0,,1333128394000.0,-637435927000.0,-1199002320000.0,,-1618097938000.0,1502395252000.0,1598186598000.0,1769126225000.0,983973487000.0,492799486000.0,831215437000.0,1899636959000.0,975627432000.0,-3459075408000.0,-3127635546000.0,-765957176000.0,-200639090000.0,503543423000.0,335761005000.0,1271045911000.0,1810039779000.0,251029941000.0,326074787000.0,564676651000.0,151072673000.0,,,,,,,,,,,,,
1,entity00164830_udf_CF_2020227117144_CashFlowsFromUsedInOperatingActivities,영업활동에서 창출된 현금흐름,Cash Flows from Operating Activites,현금흐름표 [abstract],영업활동으로 인한 순현금흐름,영업활동에서 창출된 현금흐름,,204280646000.0,-1410650258000.0,-307327265000.0,57491367000.0,136397238000.0,169758466000.0,439184255000.0,112763740000.0,672071441000.0,894252428000.0,1942828732000.0,1274021575000.0,429013370000.0,2923057743000.0,,,,-614330321000.0,,,,1629556680000.0,,,,1175191985000.0,1458330288000.0,2334602581000.0,1039097449000.0,-2466795690000.0,-2199746733000.0,-148082584000.0,-53525721000.0,1839962723000.0,1692176894000.0,2217935070000.0,1868306303000.0,879639722000.0,859809517000.0,874024152000.0,258984315000.0,,,,,,,,,,,,,
2,entity00164830_udf_CF_202022711734266_udf_CF_2020227117144_CashFlowsFromUsedInOperatingActivities,당기순이익(손실),net profit during the term(loss),현금흐름표 [abstract],영업활동으로 인한 순현금흐름,영업활동에서 창출된 현금흐름,당기순이익(손실),,213081106000.0,,,,-453610241000.0,,,,2693141932000.0,3264204688000.0,,,626990744000.0,,636760779000.0,244531929000.0,-1375768355000.0,-985169318000.0,-367554061000.0,-125154275000.0,-2213786979000.0,-2168194833000.0,-707579811000.0,-90953431000.0,146303386000.0,374070762000.0,386562383000.0,319716764000.0,1029642958000.0,1393277340000.0,661679601000.0,525281644000.0,2743436388000.0,2768872159000.0,2206316530000.0,1418828566000.0,4562681841000.0,3320751454000.0,2079772053000.0,1041404588000.0,2433240205000.0,2574199255000.0,1952281910000.0,861007693000.0,,,,,,,,38803678000.0,84543257000.0
3,entity00164830_udf_CF_202022711736491_udf_CF_2020227117144_CashFlowsFromUsedInOperatingActivities,조정항목,adjustment category,현금흐름표 [abstract],영업활동으로 인한 순현금흐름,영업활동에서 창출된 현금흐름,조정항목,39358791000.0,-1623731364000.0,-546644248000.0,-161480335000.0,119078929000.0,623368707000.0,645379560000.0,297311934000.0,646272503000.0,-1798889504000.0,-1321375956000.0,-1793195042000.0,-33306202000.0,2296066999000.0,1664942392000.0,,1158285685000.0,761438034000.0,-174304245000.0,,-1483232345000.0,3843343659000.0,3845331862000.0,2577004460000.0,1124079983000.0,1028888599000.0,1084259526000.0,1948040198000.0,719380685000.0,-3496438648000.0,-3593024073000.0,-809762185000.0,-578807365000.0,-903473665000.0,-1076695265000.0,11618540000.0,449477737000.0,-3683042119000.0,-2460941937000.0,-1205747901000.0,-782420273000.0,,,,,,,,,,,,,
4,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,현금흐름표 [abstract],영업활동으로 인한 순현금흐름,이자의 수취,,17801926000.0,96838254000.0,74574998000.0,45782390000.0,22273340000.0,140694998000.0,119693852000.0,76196158000.0,30403440000.0,144484691000.0,107850389000.0,78278516000.0,49932372000.0,200800188000.0,154104493000.0,110313354000.0,58126658000.0,255505246000.0,185652239000.0,126175501000.0,67428406000.0,305581462000.0,228836244000.0,150439104000.0,90288364000.0,320455093000.0,246004818000.0,155498775000.0,73227200000.0,385506984000.0,296051378000.0,202851226000.0,113742772000.0,468988719000.0,304931190000.0,175941758000.0,89527940000.0,326579353000.0,167510119000.0,81121071000.0,74236975000.0,,,,,,,,,,,,,
5,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,현금흐름표 [abstract],영업활동으로 인한 순현금흐름,이자의 지급,,-36890758000.0,158806223000.0,-116359686000.0,-74778966000.0,-33035017000.0,170526399000.0,-137025117000.0,-101983589000.0,-55549540000.0,277973922000.0,-221262597000.0,-172386881000.0,-108026594000.0,-415583956000.0,-314287878000.0,-213087933000.0,-107641910000.0,-400651840000.0,-340935229000.0,-205553446000.0,-105221428000.0,-403909861000.0,-307266161000.0,-215119161000.0,-111460534000.0,-443489722000.0,-331836067000.0,-227199200000.0,-115169875000.0,-504180991000.0,-374087868000.0,-250365013000.0,-124757325000.0,-398764791000.0,-289825849000.0,-171666450000.0,-98991119000.0,-161918385000.0,100360318000.0,-72637562000.0,-50733553000.0,,,,,,,,,,,,,
6,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금의 수취,Dividends received,현금흐름표 [abstract],영업활동으로 인한 순현금흐름,배당금의 수취,,162502000.0,2175307000.0,2175307000.0,2175307000.0,200446000.0,30112507000.0,30112507000.0,29915394000.0,23961413000.0,18944993000.0,17822267000.0,17129467000.0,39693944000.0,50633453000.0,49465850000.0,47784572000.0,35596149000.0,86977614000.0,85573753000.0,74601680000.0,42922730000.0,92296690000.0,75198545000.0,68927593000.0,28821218000.0,52965217000.0,53728204000.0,47619737000.0,4148000000.0,56100614000.0,56124588000.0,50524455000.0,10354160000.0,67147385000.0,108619693000.0,108206913000.0,100376711000.0,84808581000.0,-125696015000.0,90738711000.0,101855574000.0,,,,,,,,,,,,,
7,entity00164830_udf_CF_202022711850611_CashFlowsFromUsedInOperatingActivities,법인세의 환급(납부),Corporate tax refund (payment),현금흐름표 [abstract],영업활동으로 인한 순현금흐름,법인세의 환급(납부),,,6324173000.0,-3622224000.0,2420733000.0,,-43519951000.0,-36890582000.0,-31983673000.0,-19783217000.0,-186393917000.0,-161512279000.0,-136569794000.0,-103446357000.0,-109704660000.0,-190257229000.0,,,35063374000.0,,,,-121129719000.0,-75719059000.0,-104545960000.0,-56802113000.0,-612323087000.0,-595011806000.0,-410884934000.0,-25675342000.0,-929706325000.0,-905976911000.0,-620885260000.0,-146452976000.0,-1473790613000.0,-1480140923000.0,-1059371380000.0,-149180056000.0,-878079330000.0,-675909152000.0,-408569721000.0,-233270638000.0,,,,,,,,,,,,,
8,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 순현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동으로 인한 순현금흐름,,,1012535491000.0,-329586110000.0,684913387000.0,91145209000.0,108403265000.0,-5728546000.0,-256988147000.0,-242081087000.0,7184440000.0,596311709000.0,549944500000.0,241569899000.0,-164623246000.0,-524754490000.0,-432871557000.0,,-277760521000.0,-138568493000.0,-168144181000.0,,-251101704000.0,-428108029000.0,-1019824642000.0,-691177388000.0,-300074197000.0,-1263400135000.0,-880532681000.0,-591538644000.0,-383316315000.0,-809287176000.0,-447343833000.0,-732897010000.0,-305096623000.0,-1366795385000.0,-1357929164000.0,-864306387000.0,-879645680000.0,-3414630010000.0,-3069288835000.0,-394706041000.0,-165735871000.0,,,,,,,,,,,,,
